"";"Butansäure/Buttersäure";"Hexansäure/Capronsäure";"Octansäure/Caprylsäure";"Decansäure/Caprinsäure";"Dodecansäure/Laurinsäure";"Tetradecansäure/Myristinsäure";"Pentadecansäure";"Hexadecansäure/Palmitinsäure";"Heptadecansäure";"Octadecansäure/Stearinsäure";"Eicosansäure/Arachinsäure";"Decosansäure/Behensäure";"Tetracosansäure/Lignocerinsäure";"Gesättigte Fettsäuren";"Tetradecensäure";"Pentadecensäure";"Hexadecensäure/Palmitoleinsäure";"Heptadecensäure";"Octadecensäure/Ölsäure";"Eicosensäure";"Decosensäure/Erucasäure";"Tetracosensäure/Nervonsäure";"Einfach ungesättigte Fettsäuren";"Hexadecadiensäure";"Hexadecatetraensäure";"Octadecadiensäure/Linolsäure omega-6";"ALA - Linolensäure/Octadecatriensäure omega-3";"Octadecatetraensäure/Stearidonsäure omega-3";"Nonadecatriensäure";"Eicosadiensäure omega-6";"Eicosatriensäure omega-3";"Eicosatetraensäure/Arachidonsäure omega-6";"EPA - Eicosapentaensäure omega-3";"Docosadiensäure omega-6";"Docosatriensäure omega-6";"Docosatetraensäure omega-6";"Docosapentaensäure omega-3";"DHA - Docosahexaensäure omega-3";"Mehrfach ungesättigte Fettsäuren";"Kurzkettige Fettsäuren";"Mittelkettige Fettsäuren";"Langkettige Fettsäuren";"Glycerin und Lipoide";"Cholesterin"
"Graubrot-Roggentoastbrot";0;0;0;35;37;146;0;0;0;0;0;123;0;38;0;0;150;1007;0;1163;363;12;0;0;536;0;125;2;2;3047;958;79;20;0;203;0;584;44;2;0;0;0;131;2
"Hirse Flocken";0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;841;0;886;485;0;0;0;675;0;15;0;0;3415;1688;0;0;0;169;0;826;0;0;0;0;0;9;0
"Frühstücksfleisch";0;0;61;0;0;0;0;0;0;0;0;48;0;21;0;0;230;11714;0;8996;1679;52;21;0;5523;0;786;0;0;23491;2781;0;0;0;2994;0;10677;0;21;0;0;0;337;0
"Moosbeere frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87;0;42;140;0;0;0;31;0;3;0;0;560;431;0;0;0;11;0;84;0;0;0;0;0;0;0
"Saure Sahne 20 % Fett";0;680;65;510;0;0;0;0;0;0;0;624;0;95;0;0;38;6029;0;12133;1100;170;189;0;5215;0;491;435;1115;17029;738;756;0;0;1909;0;4914;246;227;132;0;0;2022;265
"Olivenpastete";0;0;55;0;2;0;0;0;0;0;0;41;0;19;0;0;190;11814;0;8175;1302;23;10;0;5041;0;681;0;0;22647;2658;0;0;0;2752;0;10933;0;10;0;2;0;285;0
"Hühnerei Vollei frisch";0;0;396;0;0;0;0;0;0;0;0;0;0;46;0;0;0;4461;0;3328;1904;0;0;0;2417;0;372;0;0;9296;1507;0;0;0;837;0;4089;0;0;0;0;0;28;0
"Cabanossi (Brühwurst)";0;0;50;0;0;0;0;0;0;0;0;56;0;14;0;0;236;14534;0;11306;1820;64;19;0;6849;0;1038;0;0;29078;3238;0;0;0;3836;0;13187;0;30;0;0;0;457;54
"Gemüsepaprika rot";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;91;100;0;0;0;62;0;2;0;0;400;277;0;0;0;17;0;30;0;0;0;0;0;12;0
"Lasagne al forno (Zubereitung Gastronomie)";0;226;73;170;2;0;0;0;0;0;0;209;0;39;0;0;22;3443;0;4980;682;70;70;0;2326;0;250;144;370;8371;570;252;0;0;914;0;2957;82;81;44;1;0;716;100
"Straßburger Gänseleberwurst";0;0;378;1;15;0;0;0;0;0;0;29;0;7;0;0;121;7097;0;5940;1694;18;8;0;3561;0;498;0;0;15307;2271;1;0;0;2107;0;6470;0;8;0;0;0;194;0
"Joghurt teilentrahmt";0;51;5;38;0;0;0;0;0;0;0;47;0;7;0;0;3;453;0;909;83;13;14;0;390;0;37;33;84;1277;55;56;0;0;143;0;369;18;17;10;0;0;152;20
"Garnele frisch";0;0;152;1;0;21;0;0;0;0;0;12;0;0;0;0;24;352;0;278;519;6;12;0;188;0;67;0;0;1209;581;2;0;0;33;0;228;1;7;0;0;0;30;0
"Brühwurst";0;0;53;0;0;0;0;0;0;0;0;51;0;5;0;0;209;12455;0;9524;1359;8;5;0;5781;0;799;0;0;25007;3028;0;0;0;3342;0;11442;0;5;0;0;0;332;0
"Spitzpaprika rot";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;91;100;0;0;0;62;0;2;0;0;400;277;0;0;0;17;0;30;0;0;0;0;0;12;0
"Zungenwurst hell";0;0;68;3;0;0;0;0;0;0;0;51;0;11;0;0;190;10596;0;7919;1244;18;9;0;4883;0;689;0;0;21065;2553;3;0;0;2642;0;9708;0;9;0;0;0;302;0
"Kaffee mit Kondensmilch und Zucker (Getränk)";0;8;1;6;0;0;0;0;0;0;0;7;0;1;0;0;0;71;0;144;13;2;2;0;62;0;6;5;13;202;9;9;0;0;23;0;58;3;3;2;0;0;24;3
"Rinderbierschinken";0;0;65;0;0;0;0;0;0;0;0;21;0;11;0;0;84;5551;0;4554;743;35;29;0;2700;0;370;0;0;11296;1191;0;0;0;1577;0;5044;0;17;0;0;0;193;24
"Geflügelfleischkäse gekocht";0;0;62;0;0;1;0;0;0;0;0;12;0;10;0;0;59;2859;0;2712;485;11;27;0;1536;0;120;0;0;6250;679;0;0;0;1040;0;2652;0;7;0;0;0;96;0
"Hafer Vollkornflocken";0;0;0;0;0;0;0;0;0;0;0;54;0;0;0;0;73;2468;0;1245;450;0;0;0;1079;0;14;0;0;6200;2487;0;0;0;112;0;2381;0;0;0;0;0;0;0
"Zuckermelone - Honigmelone";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;26;20;0;0;0;22;0;2;0;0;54;15;0;0;0;4;0;11;0;0;0;0;0;0;0
"Füllung für Spanferkel";0;0;155;1;8;0;0;0;0;0;0;33;0;7;0;0;121;6916;0;5540;1192;20;9;0;3302;0;467;0;0;14448;1993;1;0;0;1937;0;6319;0;8;0;0;0;224;0
"Getrüffelte Zungenpastete";0;124;75;97;0;0;0;0;0;0;0;167;0;42;0;0;229;11435;0;10303;1414;70;58;0;5985;0;762;80;204;24024;2632;142;0;0;2935;0;10313;45;66;24;0;0;692;49
"Gurke frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;66;40;0;0;0;59;0;0;0;0;160;89;0;0;0;6;0;5;0;0;0;0;0;1;0
"Casein";0;27;0;20;0;0;0;0;0;0;0;25;0;4;0;0;2;243;0;483;44;7;8;0;207;0;20;17;44;682;30;30;0;0;76;0;197;10;9;5;0;0;81;11
"Schwein Speck und Schinken";0;0;70;0;0;0;0;0;0;0;0;14;0;10;0;0;77;3564;0;2739;604;24;10;0;1695;0;247;0;0;7131;828;0;0;0;878;0;3230;0;10;0;0;0;108;0
"Makrele geräuchert";0;0;64;0;20;344;0;0;0;0;0;26;0;44;0;0;2271;7889;0;7161;0;190;111;0;3920;0;1156;0;0;22359;7309;0;0;0;774;0;3745;0;158;0;29;242;2000;20
"Zungenblutwurst";0;0;70;6;0;0;0;0;0;0;0;66;0;0;0;0;195;11215;0;8447;1253;1;0;0;5227;0;772;0;0;22389;2733;6;0;0;2805;0;10248;0;0;0;0;0;342;0
"Lupinenmehl";0;0;0;0;0;97,5;0;0;0;0;0;8,4;0;0;0;0;267,4;4100;0;1100;305,4;0;0;0;781,2;0;35,7;0;0;7830;2600;0;0;0;332,7;0;3731,4;0;0;0;0;0;13,7;0
"Eiscreme";0;91;11;67;0;0;0;0;0;0;0;83;0;13;0;0;5;810;0;1624;148;24;24;0;699;0;67;59;150;2284;99;99;0;0;255;0;660;32;30;19;0;0;271;35
"Wurst";0;0;74;0;0;0;0;0;0;0;0;57;0;5;0;0;228;14527;0;11227;1628;19;15;0;6762;0;940;0;0;29191;3437;0;0;0;3972;0;13330;0;8;0;0;0;404;14
"Pastinake roh";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;68;86;0;0;0;62;0;5;0;0;352;255;0;0;0;3;0;24;0;0;0;0;0;3;0
"Olivenöl";0;0;1;0;95;0;0;0;0;0;0;0;0;381;0;0;286;71224;0;14662;4382;95;0;0;11426;0;952;0;0;95218;9332;0;0;0;2380;0;69986;0;0;0;95;0;190;0
"Schinken-Käsesülze";0;129;67;98;0;0;0;0;0;0;0;124;0;27;0;0;37;2859;0;3687;619;50;46;0;1856;0;220;83;212;6736;547;145;0;0;782;0;2476;47;50;25;0;0;441;55
"Kartoffelstärke Mehl";0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0;25;20;0;0;0;16;0;1;0;0;79;53;1;0;0;4;0;1;0;0;0;0;0;1;0
"Mandeldrink gesüßt";0;0;0;0;0,2;0;0;0;0;0;0;0,1;0;1;0;0;0,9;700;0;100;0;0,1;0;0;78,3;0;5,8;0;0;1100;0,3;0;0;0;20;0;693,3;0;0;0;0,1;0;0,3;0
"Füllung für Kalbsbrust";0;151;117;114;1;3;0;0;0;0;0;166;0;37;0;0;114;8770;0;8551;1422;76;55;0;4745;0;664;97;248;18773;1870;170;0;0;2346;0;7809;56;68;30;0;0;694;95
"Blattspinat gegart";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;41;67;0;0;0;33;0;6;0;0;268;201;0;0;0;6;0;20;0;0;0;0;0;2;0
"Erdbeere frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64;0;23;80;0;0;0;18;0;1;0;0;320;233;0;0;0;5;0;63;0;0;0;0;0;0;0
"Tilsiter";0;942;95;707;0;0;0;0;0;0;0;864;0;131;0;0;52;8350;0;16806;1524;236;262;0;7225;0;681;602;1544;23585;1020;1047;0;0;2644;0;6806;340;314;183;0;0;2801;366
"Wiener Schnitzel (Zubereitung Großküche)";0;21;62;268;0;0;0;0;0;0;0;2009;0;48;0;0;4;1203;0;4986;942;20;21;0;985;0;99;35;56;6001;479;611;0;0;387;0;1055;343;17;4;0;0;853;20
"Graupenblutwurst";0;0;0;7;0;0;0;0;0;0;0;37;0;23;0;0;145;9215;0;7565;0;21;7;0;4563;0;595;0;0;0;0;0;0;0;2635;0;8448;0;4;0;0;0;275;20
"Schupfnudeln (Zubereitung Haushalt)";0;0;62;1;0;0;0;0;0;0;0;3;0;8;0;0;1;725;0;580;364;0;0;0;414;0;61;0;0;1653;349;1;0;0;136;0;663;0;0;0;0;0;18;0
"Kasseler Rippenspeer roh geräuchert";0;0;48;0;0;0;0;0;0;0;0;14;0;7;0;0;74;3845;0;3219;557;17;7;0;1941;0;251;0;0;7739;675;0;0;0;1105;0;3513;0;7;0;0;0;128;0
"Limette Fruchtsaft";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;273;0;307;336;0;0;0;281;0;44;0;0;1345;765;0;0;0;13;0;229;0;0;0;0;0;13;0
"Blumenkohl gedämpft";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;8;0;51;68;0;0;0;47;0;5;0;0;226;167;0;0;0;2;0;2;0;0;0;0;0;1;0
"Putenbrust gebraten, mit Soße (Zubereitung Großküche)";0;0;25;63;0;0;0;0;0;0;0;497;0;10;0;0;1;187;0;1114;103;0;10;0;201;0;24;5;5;1343;194;147;0;0;66;0;152;84;0;0;0;0;188;0
"Preßsäckel";0;0;75;0;0;0;0;0;0;0;0;44;0;14;0;0;208;11154;0;8555;1412;32;14;0;5231;0;728;0;0;22366;2657;0;0;0;2910;0;10204;0;14;0;0;0;310;0
"Vollkornbrot-Roggenvollkornbrot";0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;6;106;0;135;0;0;0;0;128;0;3;0;0;0;0;0;0;0;4;0;97;0;0;0;0;0;1;0
"Sauermilchkäse (Harzer) Magerstufe";0;24;3;18;0;0;0;0;0;0;0;22;0;3;0;0;1;211;0;424;39;6;7;0;181;0;17;15;39;595;26;27;0;0;67;0;172;9;8;5;0;0;71;9
"Mandel süß Mehl";0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;40;35388;0;4704;2829;0;0;0;3676;0;286;0;0;52062;11970;0;0;0;983;0;35062;0;0;0;0;0;0;0
"Rettich weiß frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;33;30;0;0;0;29;0;0;0;0;120;72;0;0;0;4;0;15;0;0;0;0;0;0;0
"Pute Brust frisch";0;0;60;0;0;1;0;0;0;0;0;1;0;0;0;0;2;276;0;329;54;1;25;0;225;0;47;0;0;936;331;0;0;0;94;0;201;0;1;0;0;0;7;0
"Zwiebeln";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;84;44;0;0;0;59;0;0;0;0;206;94;0;0;0;24;0;28;0;0;0;0;0;1;0
"Grapefruit Fruchtsaft";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;26;25;0;0;0;24;0;2;0;0;97;45;0;0;0;2;0;24;0;0;0;0;0;0;0
"Orange Fruchtsaft";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;44;0;32;33;0;0;0;28;0;5;0;0;132;56;0;0;0;2;0;39;0;0;0;0;0;1;0
"Cabanossi Konserve";0;0;50;0;0;0;0;0;0;0;0;56;0;14;0;0;236;14534;0;11306;1820;64;19;0;6849;0;1038;0;0;29078;3238;0;0;0;3836;0;13187;0;30;0;0;0;457;54
"Puffreis";0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;583;0;544;345;0;0;0;469;0;2;0;0;1955;828;0;0;0;49;0;581;0;0;0;0;0;18;0
"Kartoffeln ungeschält roh gegart mit Küchenabfall";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;2;0;0;0;0;9;6;0;0;0;1;0;0;0;0;0;0;0;0;0
"Blumenkohl gekocht";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;8;0;49;65;0;0;0;46;0;5;0;0;215;158;0;0;0;2;0;2;0;0;0;0;0;0;0
"Walnuss europäisch";0;0;0;0;0;0;0;0;0;0;0;0;0;417;0;0;476;10115;0;6725;3000;0;0;0;4403;0;119;0;0;59500;42660;0;0;0;1250;0;9520;0;0;0;0;0;655;0
"Rind Herz frisch";0;0;140;0;0;0;0;0;0;0;0;4;0;0;0;0;4;706;0;1301;557;27;38;0;574;0;40;0;0;2093;86;0;0;0;610;0;611;0;17;13;0;0;69;0
"Sardelle Konserve";0;0;10;0;0;16;0;0;0;0;0;0;0;3;0;0;8;393;0;602;162;0;0;0;377;0;131;0;0;1642;647;0;0;0;123;0;222;0;0;0;0;0;99;16
"Hühnerei Eiweiß frisch gegart";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;76;0;56;33;0;0;0;41;0;7;0;0;158;26;0;0;0;14;0;69;0;0;0;0;0;0;0
"Konfitüre, Marmelade mit Fruchtzucker für Diabetiker";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;28;25;0;0;0;21;0;0;0;0;101;39;0;0;0;6;0;34;0;0;0;0;0;1;0
"Schinkentorte";0;57;44;42;0;66;0;0;0;0;0;57;0;15;0;0;46;2068;0;2180;397;31;24;0;1159;0;147;36;93;4540;447;62;0;0;519;0;1747;20;25;11;0;3;219;24
"Sülzwürste";0;0;74;0;0;0;0;0;0;0;0;15;0;11;0;0;81;3728;0;2908;721;31;13;0;1790;0;262;0;0;7580;944;0;0;0;930;0;3372;0;12;0;0;0;119;0
"Wiener Würstchen Konserve";0;0;57;0;0;0;0;0;0;0;0;52;0;8;0;0;222;13060;0;10076;1431;17;11;0;6100;0;837;0;0;26261;3125;0;0;0;3520;0;11985;0;9;0;0;0;370;5
"Fenchelgemüse gedünstet (Zubereitung Haushalt)";0;139;12;104;0;0;0;0;0;0;0;128;0;19;0;0;8;1243;0;2541;286;35;39;0;1123;0;100;89;228;3718;316;154;0;0;394;0;1015;50;46;27;0;0;414;54
"Skyr";0;5,7;5;4,2;0;0;0;0;0;0;0;5,2;0;0,8;0;0;2;300;0;100;55,8;1,4;9,6;0;43,4;0;24,8;3,7;9,3;428,6;0;6,3;0;0;15,9;0;249,9;2,1;1,8;6,6;0;0;16,8;13,2
"Bierschinken-Pastete";0;128;67;96;0;0;0;0;0;0;0;142;0;43;0;0;151;7714;0;7161;1271;80;57;0;4036;0;513;82;210;16215;1692;142;0;0;1872;0;6918;46;65;25;0;0;571;50
"Parmesan";0;1184;82;888;0;0;0;0;0;0;0;1085;0;164;0;0;66;10490;0;21114;1914;296;329;0;9078;0;855;756;1940;29630;1282;1316;0;0;3321;0;8550;428;395;230;0;0;3519;460
"Köhler tiefgefroren gegart";0;0;85;0;0;47;0;0;0;0;0;0;0;0;0;0;38;280;0;129;323;1;12;0;76;0;28;0;0;754;345;0;0;0;40;0;155;0;1;0;0;0;11;0
"Rotkohl frisch gegart";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;11;0;29;33;0;0;0;26;0;1;0;0;132;92;0;0;0;1;0;10;0;0;0;0;0;1;0
"Bierschinken, Schinkenpastete";0;0;60;0;0;0;0;0;0;0;0;23;0;6;0;0;102;5579;0;4282;687;13;6;0;2614;0;363;0;0;11194;1333;0;0;0;1465;0;5108;0;6;0;0;0;155;0
"Brötchen-Weizenbrötchen";0;0;0;7;8;33;0;0;0;0;0;27;0;13;0;0;35;298;0;337;239;2;0;0;192;0;31;0;0;1097;478;16;4;0;50;0;199;9;1;0;0;0;28;0
"Curry-Bratwurst";0;0;51;0;0;0;0;0;0;0;0;49;0;5;0;0;199;11818;0;9016;1370;12;5;0;5477;0;768;0;0;23690;2856;0;0;0;3152;0;10846;0;5;0;0;0;316;0
"Ricotta Vollfettstufe";0;442;51;331;0;0;0;0;0;0;0;405;0;61;0;0;25;3914;0;7873;714;110;123;0;3385;0;319;282;724;11052;479;490;0;0;1239;0;3189;159;147;86;0;0;1312;172
"Rind Gulasch (mager) frisch gegart";0;0;63;0;0;0;0;0;0;0;0;4;0;13;0;0;9;2033;0;2089;399;48;44;0;1131;0;152;0;0;4353;231;0;0;0;740;0;1784;0;22;0;0;0;131;44
"Fleischwurst, Stadtwurst";0;0;50;0;0;0;0;0;0;0;0;48;0;2;0;0;194;11949;0;9119;1309;6;3;0;5524;0;770;0;0;23972;2904;0;0;0;3220;0;10981;0;2;0;0;0;317;1
"Mettwurst grob";0;0;65;0;0;0;0;0;0;0;0;52;0;2;0;0;212;12941;0;9860;1421;5;2;0;5977;0;834;0;0;25933;3132;0;0;0;3481;0;11893;0;2;0;0;0;341;0
"Schwartenmagen";0;0;162;0;0;0;0;0;0;0;0;13;0;7;0;0;57;4505;0;3902;1728;57;51;0;2224;0;344;0;0;9366;959;0;0;0;1321;0;3999;0;34;0;0;0;246;54
"Brötchen mit Milch";0;41;4;38;8;31;0;0;0;0;0;65;0;18;0;0;37;657;0;1066;302;13;12;0;502;0;60;26;67;2111;517;62;4;0;165;0;493;24;15;8;0;0;151;16
"Pute Truthahn gegart";0;0;85;0;0;15;0;0;0;0;0;15;0;0;0;0;30;4528;0;5385;893;15;415;0;3683;0;768;0;0;15345;5432;0;0;0;1535;0;3300;0;15;0;0;0;122;0
"Frischkäse Doppelrahmstufe";0;1072;103;804;0;0;0;0;0;0;0;982;0;149;0;0;60;9497;0;19109;1733;268;298;0;8213;0;774;685;1757;26819;1161;1191;0;0;3007;0;7740;387;357;208;0;0;3185;417
"Edamer";0;963;59;722;0;0;0;0;0;0;0;883;0;134;0;0;53;8529;0;17171;1557;241;267;0;7381;0;695;615;1578;24095;1043;1070;0;0;2701;0;6953;348;321;187;0;0;2862;374
"Seitan (braun)";0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;1;699;0;309;354;0;0;0;221;0;9;0;0;1698;690;0;0;0;25;0;688;0;0;0;0;0;3;1
"Bismarckhering Konserve, abgetropft";0;0;83;11;1;1858;0;0;0;0;0;12;0;22;0;0;1323;5950;0;2322;1168;21;0;0;1401;0;980;0;0;10467;2206;11;0;0;134;0;1731;0;50;0;1;7;669;51
"Tatar (Schabefleisch) frisch";0;0;58;0;0;0;0;0;0;0;0;3;0;8;0;0;5;1282;0;1321;252;30;27;0;717;0;96;0;0;2748;145;0;0;0;467;0;1127;0;14;0;0;0;82;27
"Moosbeere";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87;0;42;140;0;0;0;31;0;3;0;0;560;431;0;0;0;11;0;84;0;0;0;0;0;0;0
"Pfälzer, Augsburger, Regensburger";0;0;50;0;0;0;0;0;0;0;0;56;0;14;0;0;236;14534;0;11306;1820;64;19;0;6849;0;1038;0;0;29078;3238;0;0;0;3836;0;13187;0;30;0;0;0;457;54
"Weißer Fleischkäse";0;0;54;0;0;0;0;0;0;0;0;51;0;5;0;0;213;12692;0;9677;1461;13;5;0;5877;0;825;0;0;25428;3059;0;0;0;3387;0;11649;0;5;0;0;0;339;0
"Schwein Rücken (Kotelett) (mittelfett) frisch gegart";0;0;74;0;0;0;0;0;0;0;0;20;0;9;0;0;98;4935;0;3782;740;24;9;0;2324;0;336;0;0;9879;1162;0;0;0;1253;0;4492;0;9;0;0;0;143;0
"Bratkartoffeln (Zubereitung Gastronomie)";0;167;14;126;0;0;0;0;0;0;0;157;0;23;0;0;9;1482;0;3007;289;42;46;0;1299;0;122;107;274;4258;229;186;0;0;473;0;1208;60;56;32;0;0;497;65
"Xylit";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Suppenhuhn Klein frisch gegart";0;0;86;9;9;0;0;0;0;0;0;9;0;9;0;0;51;4110;0;3039;497;17;9;0;2269;0;615;0;0;8522;1382;9;0;0;606;0;3426;0;9;0;0;0;102;9
"Brötchen-Weizenmischbrötchen";0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;3;105;0;127;245;0;0;0;115;0;3;0;0;645;413;0;0;0;7;0;99;0;0;0;0;0;1;0
"Pizza tonno (Zubereitung Gastronomie)";0;0;7;3;13;16;0;0;0;0;0;14;0;32;0;0;55;4927;0;2521;651;13;0;0;1654;0;175;0;0;9520;2075;3;0;0;689;0;4672;0;0;0;6;0;97;9
"Haferflocken";0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;65;2190;0;1105;399;0;0;0;957;0;12;0;0;5503;2208;0;0;0;100;0;2113;0;0;0;0;0;0;0
"Kondensmilch 10 % Fett";0;340;38;255;0;0;0;0;0;0;0;312;0;47;0;0;19;3015;0;6067;550;85;95;0;2610;0;246;217;557;8515;368;378;0;0;954;0;2457;123;113;66;0;0;1011;132
"Mettwurst schnittfeste Gruppe";0;0;56;0;0;0;0;0;0;0;0;64;0;17;0;0;284;16295;0;12554;2083;45;22;0;7625;0;1077;0;0;32699;3850;0;0;0;4323;0;14903;0;19;0;0;0;461;9
"Reisnudeln";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;560;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Kalbfleisch-Galantine";0;0;84;0;0;0;0;0;0;0;0;2;0;1;0;0;10;720;0;631;312;10;9;0;363;0;56;0;0;1557;206;0;0;0;212;0;638;0;6;0;0;0;37;7
"Kabeljau frisch Fischzuschnitt";0;0;50;0;0;4;0;0;0;0;0;0;0;0;0;0;8;80;0;128;201;2;0;0;101;0;12;0;0;469;261;0;0;0;19;0;56;0;1;0;0;0;5;0
"Spätzle (Zubereitung Gastronomie)";0;0;72;0;0;0;0;0;0;0;0;0;0;10;0;0;1;847;0;649;432;0;0;0;479;0;69;0;0;1910;414;0;0;0;155;0;777;0;0;0;0;0;5;0
"Wildbret-Galantine                     ";0;0;73;0;0;0;0;0;0;0;0;22;0;19;0;0;109;5345;0;4502;758;39;25;0;2689;0;358;0;0;10977;1130;0;0;0;1503;0;4830;0;25;0;0;0;205;23
"Champignon Konserve gegart abgetropft";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;55;45;0;0;0;50;0;2;0;0;181;122;0;0;0;3;0;2;0;0;0;0;0;2;0
"Sprotte frisch";0;0;109;0;0;2077;0;0;0;0;0;0;0;0;0;0;1330;7095;0;4722;1660;45;0;0;3108;0;971;0;0;14940;3123;0;0;0;299;0;2717;0;90;0;0;0;1180;0
"Buchweizen Vollkorn";0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;514;0;295;340;0;0;0;231;0;0;0;0;1360;551;0;0;0;31;0;514;0;0;0;0;0;7;0
"Rührei (Zubereitung Haushalt)";0;126;331;94;0;0;0;0;0;0;0;115;0;55;0;0;7;4713;0;4925;1740;31;35;0;2913;0;391;80;206;10644;1351;139;0;0;1028;0;4207;45;42;24;0;0;396;49
