"name";"Mannit";"Sorbit";"Xylit";"Summe Zuckeralkohole";"Glucose (Traubenzucker)";"Fructose (Fruchtzucker)";"Galactose (Schleimzucker)";"Monosaccharide (1 M)";"Saccharose (Rübenzucker)";"Maltose (Malzzucker)";"Lactose (Milchzucker)";"Disaccharide (2 M)";"Oligosaccharide, resorbierbar (3-9 M)";"Oligosaccharide, nicht resorbierbar";"Glykogen (tierische Stärke)";"Stärke";"Polysaccharide (> 9 M)"
"Hühnerei Vollei frisch";0;0;0;0;700;0;0;700;0;0;0;0;0;0;0;0;0
"Gnocchi gekocht";454;155;0;315;0;0;78;0;470;10;68;30896;376;0;30896;0;0
"Kopfsalat mit Essigmarinade (Zubereitung Haushalt)";354;415;0;343;0;0;0;0;758;0;0;16;354;0;16;0;0
"Salami Kroatische Art";12;106;0;127;0;0;0;0;236;0;0;12;12;0;12;0;0
"Suppenhuhn Fleisch (mittelfett) frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Lyoner Wurst";36;87;0;109;0;0;0;0;196;0;0;41;36;0;41;0;0
"Marzipan Rohmasse";37335;0;0;0;0;0;0;0;0;14;0;0;37335;0;0;0;0
"Weintraube weiß frisch";437;7628;0;7332;0;0;0;0;14960;0;0;0;437;203;0;203;0
"Kleber (Gluten)";28;7;0;7;0;0;0;0;14;0;28;6930;28;0;6930;0;0
"Rhabarber frisch";335;386;0;408;0;0;0;0;794;0;0;231;335;0;231;0;0
"Papaya";2135;2448;0;2517;0;0;0;0;4965;0;0;0;2135;0;0;0;0
"Tomatensoße mit Tomatenmark (Zubereitung Gastronomie)";1099;3477;0;3159;48;52;0;16;6636;1;189;1760;1047;0;1712;16;0
"Geflügel Döner";496;111;12;147;0;61;6;0;270;13;113;21013;429;0;21013;0;0
"Walnüsse geröstet";6268;0;0;0;0;0;0;0;0;0;0;3376;6268;0;3376;0;0
"Gouda mind. 45% Fett i. Tr.";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Haferflockenbrei (Zubereitung Haushalt)";9741;0;0;61;0;3608;6;0;61;2;59;5780;6127;0;5780;0;0
"Kefir entrahmt";4158;0;0;0;0;4158;0;0;0;0;0;0;0;0;0;0;0
"Lachsschinkenpastete";434;0;0;0;0;0;0;0;0;0;0;108;434;0;108;0;0
"Mais-Fladenbrot";820;45;0;45;0;0;0;0;90;0;182;44441;820;0;44441;0;0
"Roggen Vollkorn";896;60;0;60;0;0;0;0;120;0;597;58087;896;0;58087;0;0
"Schwein Schinken gekocht geräuchert";1072;0;0;0;0;0;0;0;0;0;0;0;1072;0;0;0;0
"Blattspinat tiefgefroren";219;110;0;136;0;0;0;0;246;0;0;83;219;0;83;0;0
"Weißkohl (Weißkraut) gegart";242;1358;0;1359;0;0;0;0;2717;0;0;60;242;0;60;0;0
"Maiskeimöl";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Brathähnchen Brustfilet roh";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Schweineschmalz, -fett";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Plockwurst einfach";9;85;0;105;164;0;0;0;190;0;0;175;9;0;11;0;0
"Hirse ganzes Korn roh";1280;0;0;0;0;0;0;0;0;330;640;62080;1280;0;62080;0;0
"Butterschmalz";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Frikadelle (Zubereitung Gastronomie)";187;195;0;401;53;0;1;0;596;2;170;2653;186;0;2600;0;0
"Kalb Leber roh";0;0;0;0;4100;0;0;0;0;0;0;4100;0;0;0;0;0
"Stockwurst";20;92;0;111;211;0;0;0;203;0;0;264;20;0;53;0;0
"Bier";209;6;3;19;0;0;209;3;34;0;2699;172;0;3;0;6;0
"Camembert Doppelrahmstufe";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Schwein Filet (mager) frisch gegart";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Schnittkäse";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Debreziner Konserve";12;99;0;118;60;0;0;0;217;0;0;71;12;0;11;0;0
"Zucchini gedünstet mit Knoblauch (Zubereitung Haushalt)";496;956;0;885;0;12;0;10;1842;0;93;339;484;0;339;17;7
"Eier gekocht, gesalzen (Zubereitung Haushalt)";0;0;0;698;0;0;0;0;698;0;0;0;0;0;0;0;0
"Rind Leber roh";0;0;0;0;5300;0;0;0;0;0;0;5300;0;0;0;0;0
"Krabbe klein (Shrimps) gegart";0;0;0;0;775;0;0;0;0;0;0;775;0;0;0;0;0
"Wildreis gekocht";27;27;0;27;0;0;0;0;54;0;0;26806;27;0;26806;0;0
"Sülzwurst hervorhebend";131;84;0;102;49;0;0;0;186;0;0;60;131;0;11;0;0
"Geflügelbratwurst";34;133;0;149;0;0;0;0;282;0;0;10;34;0;10;0;0
"Weißer Preßkopf";25;121;0;135;33;0;0;0;256;0;0;842;25;0;809;0;0
"Rind Hackfleisch frisch";0;0;0;0;457;0;0;0;0;0;0;457;0;0;0;0;0
"Sülzkotelett";728;11;0;19;190;0;0;0;30;0;0;190;728;0;0;0;0
"Gänseleberkäse getrüffelt";22;97;0;110;2462;0;0;0;207;0;0;2471;22;0;9;0;0
"Pommes frites mit Ketchup";426;1780;0;1609;0;0;0;0;3389;0;0;14209;426;0;14209;0;0
"Mango tiefgefroren";9563;2845;0;668;0;0;0;0;3513;0;0;281;9563;0;281;0;0
"Zwiebeln gebraten (zubereitet ohne Fett)";1625;1157;0;1414;0;0;0;0;2571;0;965;0;1625;0;0;0;0
"Schnittkäse Vollfettstufe";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Zucker braun Rohzucker";96426;487;0;487;0;0;0;0;974;0;0;0;96426;0;0;0;0
"Schinkenwurst Krakauer Art roh";11;72;0;88;0;0;0;0;162;0;0;25;11;0;25;0;0
"Quark mit Kräutern Fettstufe";9874;729;0;871;0;1963;0;0;1600;3;0;343;7911;0;343;0;0
"Pastete im Brotteig";152;4;0;5;0;0;20;0;9;1;1;427;132;0;427;0;0
"Schwein Leber gegart";0;0;0;0;1106;0;0;0;0;0;0;1106;0;0;0;0;0
"Lauchzwiebel roh";1700;1870;0;2975;0;0;0;0;4845;0;1955;0;1700;0;0;0;0
"Kartoffelpüree (Zubereitung Gastronomie)";1377;105;0;158;0;1158;0;0;263;0;0;10032;219;0;10032;0;0
"Aprikose Konfitüre";22920;13460;0;17360;0;0;4600;0;30820;25;0;0;18320;270;0;270;0
"Klarer";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Gerste Perlgraupen";1916;142;0;142;0;0;710;0;284;0;355;68405;1206;0;68405;0;0
"Lakritze";55557;1192;0;1192;0;0;0;0;2384;42;114;28105;55557;0;28105;0;0
"Westfälische grobe Mettwurst";6;65;0;79;0;0;0;0;144;0;0;7;6;0;7;0;0
"Helle Zungenwurst Konserve";262;93;0;110;112;0;0;0;203;0;0;210;262;0;98;0;0
"Schalotte roh";660;726;0;1155;0;0;0;0;1881;0;759;0;660;0;0;0;0
"Cornflakes mit Zucker, Honig geröstet";2737;6292;0;4838;0;0;359;0;11130;0;151;65252;2378;0;65252;0;0
"Haferdrink";2100;100;0;1900;0;0;1900;0;2000;28;600;0;200;0;2000;0;0
"Spargel weiß gegart";239;909;0;446;0;0;0;0;1355;0;0;0;239;0;0;0;0
"Sojaerzeugnisse";398;0;0;0;0;0;0;0;0;9039;0;4;398;0;4;0;0
"Marmorkuchen aus Rührmasse";22896;20;0;174;0;448;0;0;194;23;78;19726;22448;0;19726;0;0
"Weichkäse aus Ziegenmilch (45% Fett i. Tr.)";1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Landjäger";13;89;0;106;136;0;0;0;195;0;0;164;13;0;28;0;0
"Zuckererbsen frisch";4000;200;0;300;0;0;0;0;500;0;500;5000;4000;0;5000;0;0
"Weizen Grieß gegart";61;6;0;6;0;0;0;0;12;0;37;5984;61;0;5984;0;0
"Feldsalat frisch";245;175;0;273;0;0;0;0;448;0;0;7;245;0;7;0;0
"Hafer ganzes Korn roh";1080;0;0;0;0;0;30;0;0;250;557;54251;1050;0;54251;0;0
"Weißbrot-Weizentoastbrot";2130;49;0;50;0;658;13;0;99;0;180;45276;1459;0;45276;0;0
"Walnüsse";6890;0;0;0;0;0;0;0;0;0;0;3710;6890;0;3710;0;0
"Konfitüre Gelee Marmeladen";64991;2148;0;762;0;0;0;0;2910;25;0;222;64991;192;222;192;0
"Kiwi frisch";1346;4405;0;4707;0;0;0;0;9112;0;0;312;1346;0;312;0;0
"Haselnusspastete";613;80;0;192;0;0;0;0;272;0;0;307;613;0;307;0;0
"Lachs tiefgefroren";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Pumpernickel";657;61;0;68;0;0;92;0;129;0;359;36427;565;0;36427;0;0
"Kaiserjagdwurst Konserve";16;80;0;90;0;0;0;0;170;0;0;8;16;0;8;0;0
"Mais-Vollkornfladenbrot";788;44;0;44;0;0;0;0;88;0;175;42702;788;0;42702;0;0
"Honig";2252;37535;0;33782;0;0;0;0;71317;0;1501;0;2252;0;0;0;0
"Vollkornbrot mit Sonnenblumenkernen";640;58;0;65;0;0;88;0;123;25;344;35424;552;0;35424;0;0
"Schaf Muskelfleisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rind Lunge frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Pak Choi frisch";298;427;0;417;0;0;0;0;844;0;0;48;298;0;48;0;0
"Champignon frisch";17;28;0;67;0;0;0;448;95;0;0;0;17;0;0;448;0
"Knoblauchwurst einfach";13;81;0;93;215;0;0;0;174;0;0;224;13;0;9;0;0
"Wurzelpetersilie frisch";2694;270;0;216;0;0;0;809;486;310;323;1078;2694;0;1078;809;0
"Apfel Fruchtsaft";1700;6400;0;2400;0;0;0;0;8800;1;0;521;1700;560;521;560;0
"Beerenobst";437;7628;0;7332;0;0;0;0;14960;0;0;0;437;203;0;203;0
"Pecannuss frisch";1998;0;0;222;0;0;0;0;222;0;0;2220;1998;0;2220;0;0
"Schweinefilet im Netz                   ";531;132;0;207;0;396;0;0;339;0;0;210;135;0;210;0;0
"Geflügelwiener Würstchen";48;182;0;204;0;0;0;0;386;0;0;14;48;0;14;0;0
"Spekulatius aus Mürbeteig";24042;243;0;334;0;136;0;0;577;32;129;32064;23906;0;32064;0;0
"Mosaik-, Schachbrettpastete und andere";17;104;0;124;5;0;0;0;228;0;0;16;17;0;11;0;0
"Kresse frisch";0;620;0;1488;0;0;0;0;2108;0;0;372;0;0;372;0;0
"Banane frisch";11016;3636;0;3786;0;0;0;0;7422;0;0;2952;11016;0;2952;0;0
"Rumpsteak (Zubereitung Großküche)";2;20;0;26;0;0;0;0;46;0;0;2;2;0;2;0;0
"Linsen reif frisch";2465;0;0;0;0;0;0;0;0;2380;4930;41905;2465;0;41905;0;0
"Oliven";35;0;0;0;0;0;0;0;0;0;0;1725;35;0;1725;0;0
"Müsli";3434;3727;15;2915;0;0;158;0;6657;326;461;49360;3276;95;49360;95;0
"Kokosflocken aus Fondant";60540;0;0;12281;0;0;0;0;12281;24;0;0;60540;0;0;0;0
"Gouda mind. 10% Fett i. Tr.";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Gelee einfach";65447;1972;0;699;0;0;0;0;2671;26;0;204;65447;177;204;177;0
"Tomatensoße italienisch (Zubereitung Großküche)";1411;2313;0;2190;236;0;0;0;4503;0;101;361;1411;0;125;0;0
"Kohlrabi frisch";1147;1110;0;1295;0;0;0;0;2405;0;0;148;1147;0;148;0;0
"Kokosnuss";4637;0;0;143;0;0;0;0;143;0;0;0;4637;0;0;0;0
"Obstsalat süßsauer (Zubereitung Haushalt)";13840;3932;0;2104;0;0;0;0;6036;4;0;820;13840;590;820;590;0
"Kalbfleischsülze";1;14;0;16;180;0;0;0;30;0;0;181;1;0;1;0;0
"Salami ungarische Art";13;131;0;143;0;0;0;0;274;0;0;13;13;0;13;0;0
"Muffins mit Schokolade";19967;17;0;80;0;1144;0;0;97;19;64;17178;18823;0;17178;0;0
"Graubrot-Weizenmischbrot mit Sonnenblumenkernen";1397;202;0;279;0;0;929;0;481;201;162;41444;468;0;41444;0;0
"Aprikose - Marille";5132;872;0;1734;0;0;0;0;2606;0;0;0;5132;802;0;802;0
"Schinkenroulade";24;38;0;45;0;0;0;0;83;0;0;69;24;0;69;0;0
"Kartoffelsalat mit grüner Gurke und Mayonnaise (Zubereitung Gastronomie)";318;289;36;343;59;107;0;9;668;0;48;7339;211;0;7280;9;0
"Brötchen-Roggenbrötchen mit Sonnenblumenkernen";3032;420;0;619;0;0;2384;0;1039;27;24;40703;648;0;40703;0;0
"Leberwurst einfach";70;130;0;175;185;0;0;0;305;0;63;191;70;0;6;0;0
"Bohnen grün tiefgefroren gegart";200;583;0;450;0;0;0;0;1033;1949;667;1333;200;0;1333;0;0
"Vollkornbrot-Mehrkornvollkornbrot";647;60;0;68;0;0;103;0;128;32;331;38935;544;0;38935;0;0
"Kalbfleisch-Pastete";72;70;0;84;0;30;0;0;154;5;29;7084;42;0;7084;0;0
"Hausmacher Blutwurst Konserve";91;190;0;233;15;0;0;0;423;0;45;37;91;0;22;0;0
"Salzstangen";301;75;0;75;0;0;0;0;150;0;301;74548;301;0;74548;0;0
"Mozzarella";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Brathähnchen Leber frisch";0;0;0;0;5000;0;0;0;0;0;0;5000;0;0;0;0;0
"Rote Bete gegart";5617;244;0;244;0;0;0;0;488;0;0;0;5617;0;0;0;0
"Agavendicksaft";0;70000;0;5000;0;0;0;0;75000;0;0;0;0;0;0;0;0
"Shiitakepilz frisch";370;616;0;1478;0;0;0;9856;2094;0;0;0;370;0;0;9856;0
"Mortadella Konserve";47;93;0;111;0;0;0;0;204;0;0;130;47;0;130;0;0
"Marmelade";64991;2148;0;762;0;0;0;0;2910;25;0;222;64991;192;222;192;0
"Griechischer Joghurt";3032,4;4071,9;3,5;3983,2;0;1821,2;0;0;8058,6;0;634,6;0;1200;0;1730,8;0;0
"Rind Pökelfleisch gekocht ungeräuchert";851;0;0;0;0;0;0;0;0;0;0;0;851;0;0;0;0
"Schwein Nacken (Kamm) (fett) frisch gegart";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hirsch Fleisch (mager) frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Geflügelleberwurst";127;117;0;136;2460;0;0;0;253;0;26;2467;127;0;7;0;0
"Haselnusspastete mit Mürbeteig";734;7;0;124;0;27;0;0;131;5;27;6980;707;0;6980;0;0
"Joghurt 10% mit Früchten";11874;324;783;146;0;2317;0;0;1253;4;0;81;9557;29;81;29;0
"Geflügelbierwurst";54;135;0;143;0;0;0;0;278;0;1;6;54;0;6;0;0
"Schwarze Graupenwürstchen";488;143;0;169;181;0;161;0;312;0;107;15710;327;0;15529;0;0
"Tofu frisch";495;0;0;0;0;0;0;0;0;100;0;5;495;0;5;0;0
"Rotwein leicht";0;953;0;864;0;0;0;7;2376;0;0;7;0;10;0;17;0
"Kürbiskern geröstet";763;68;0;82;0;0;0;0;150;0;0;1830;763;0;1830;0;0
"Vollkornbrot mit Ölsamen";640;58;0;65;0;0;88;0;123;25;344;35424;552;0;35424;0;0
"Linsen reif gegart";920;0;0;0;0;0;0;0;0;987;1840;15645;920;0;15645;0;0
"Bratwurst (nicht umgerötet)";32;115;0;127;0;0;0;0;242;0;0;7;32;0;7;0;0
"Amaranth roh";1670;0;0;0;0;0;200;0;0;330;662;55100;1470;0;55100;0;0
"Brühwurst feingekuttert (umgerötet)";36;87;0;109;0;0;0;0;196;0;0;41;36;0;41;0;0
"Avocado";0;0;0;3550;0;0;0;0;3550;0;0;0;0;0;0;0;0
"Hirschsalami";8;80;0;98;0;0;0;0;178;0;0;10;8;0;10;0;0
"Cashewnuss geröstet und gesalzen";11162;0;0;1240;0;0;0;0;1240;0;0;12402;11162;0;12402;0;0
"Geflügelknackwurst";48;182;0;204;0;0;0;0;386;0;0;14;48;0;14;0;0
"Knacker einfach, Schüblinge einfach";13;67;0;78;0;0;0;0;145;0;0;6;13;0;6;0;0
"Kiwi";1346;4405;0;4707;0;0;0;0;9112;0;0;312;1346;0;312;0;0
"Erbswurst";516;54;0;72;0;0;0;0;126;1036;635;11175;516;0;11175;0;0
"Schnittkäse aus Ziegenmilch (50% Fett i. Tr.)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Milzwurst";19;85;0;106;0;0;0;0;191;0;6;16;19;0;16;0;0
"Deutsche Salami";10;91;0;108;0;0;0;0;202;0;0;10;10;0;10;0;0
"Haferkleieflocken";772;0;0;0;0;0;60;0;0;0;598;58171;712;0;58171;0;0
"Leinsamen";7710;0;0;0;0;0;0;0;0;0;0;0;7710;0;0;0;0
"Brötchen mit Sonnenblumenkernen";899;50;0;53;0;0;13;0;103;59;197;47626;886;0;47626;0;0
"Sonnenblumenöl";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Geflügelmortadella gebraten (zubereitet ohne Fett)";270;1754;0;2077;0;0;0;0;3831;0;0;188;270;0;188;0;0
"Zwieback";286;71;0;71;0;0;0;0;142;0;286;70696;286;0;70696;0;0
"Spaghetti gekocht, mit Butterflöckchen (Zubereitung Gastronomie)";127;26;0;26;0;23;0;0;52;0;104;25706;104;0;25706;0;0
"Sonnenblumenkern roh";3450;0;0;0;0;0;0;0;0;0;0;0;3450;0;0;0;0
"Macadamianuss roh";1805;0;0;201;0;0;0;0;201;0;0;2004;1805;0;2004;0;0
"Chicoree frisch";187;725;0;1381;0;0;0;0;2106;1490;0;47;187;0;47;0;0
"Weiße Graupenwurst";545;133;0;161;154;0;187;0;294;0;118;18185;358;0;18031;0;0
"Mortadella süddeutsch, Zungenwurst";277;99;0;117;95;0;0;0;216;0;0;199;277;0;104;0;0
"Hüttenkäse Halbfettstufe";2600;0;0;0;0;2600;0;0;0;0;0;0;0;0;0;0;0
