"name";"Mannit";"Sorbit";"Xylit";"Summe Zuckeralkohole";"Glucose (Traubenzucker)";"Fructose (Fruchtzucker)";"Galactose (Schleimzucker)";"Monosaccharide (1 M)";"Saccharose (Rübenzucker)";"Maltose (Malzzucker)";"Lactose (Milchzucker)";"Disaccharide (2 M)";"Oligosaccharide, resorbierbar (3-9 M)";"Oligosaccharide, nicht resorbierbar";"Glykogen (tierische Stärke)";"Stärke";"Polysaccharide (> 9 M)"
"Gurke";91;878;0;787;0;0;0;54;1665;0;0;0;91;0;0;54;0
"Landjäger Würste";13;89;0;106;136;0;0;0;195;0;0;164;13;0;28;0;0
"Rotkohl Konserve gegart";195;998;0;723;0;0;0;0;1721;0;0;40;195;0;40;0;0
"Buschbohnen grün frisch";192;560;0;432;0;0;0;0;992;1600;640;1280;192;0;1280;0;0
"Plockwurst";15;111;0;129;0;0;0;0;240;0;0;13;15;0;13;0;0
"Rote Rübe frisch";7710;335;0;335;0;0;0;0;670;0;0;0;7710;0;0;0;0
"Putenschnitzel ""italienische Art"" (Zubereitung Gastronomie)";836;3;0;36;0;671;0;0;39;2;14;5756;165;0;5756;0;0
"Leinsamen geschrotet";7799;0;0;0;0;0;0;0;0;0;0;0;7799;0;0;0;0
"Lebkuchenteigbackwaren";47315;965;0;1102;0;0;0;0;2067;19;0;13;47315;0;13;0;0
"Champignonpastete mit Mürbeteig";74;12;0;22;0;37;0;52;34;6;36;8842;37;0;8842;52;0
"Schweinegrillschnitten                   ";121;414;0;460;0;0;0;0;874;0;0;29;121;0;29;0;0
"Schwein Filet (mager) frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Filetblutwurst";522;25;0;40;8;0;0;0;65;0;27;8;522;0;0;0;0
"Hanfnussöl";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Apfel-Streuselkuchen aus Mürbeteig fettreich";15486;4432;67;1228;0;74;0;0;5727;12;38;9506;15412;419;9506;419;0
"Hühnerei Vollei";0;0;0;700;0;0;0;0;700;0;0;0;0;0;0;0;0
"Sardine Konserve abgetropft";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Cervelatwurst";10;109;0;134;0;0;0;0;243;0;0;13;10;0;13;0;0
"Kalbfleischwurst";15;70;0;80;0;0;0;0;150;0;0;7;15;0;7;0;0
"Hirse roh";1605;0;0;0;0;0;0;0;0;712;761;66394;1605;0;66394;0;0
"Eisbergsalat";298;628;0;628;0;0;0;0;1256;0;0;16;298;0;16;0;0
"Petersilienblatt frisch";0;1845;0;2952;0;0;0;0;4797;0;0;2583;0;0;2583;0;0
"Mandelmus";19700;0;0;0;0;0;0;0;0;0;0;0;19700;0;0;0;0
"Paranuss";1420;0;0;0;0;0;0;0;0;0;0;2130;1420;0;2130;0;0
"Zander tiefgefroren";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Brie Vollfettstufe";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Erdnussbutter, -mus";6222;0;0;0;0;0;0;0;0;0;0;5978;6222;0;5978;0;0
"Fenchel";373;1147;0;1346;0;0;0;0;2493;0;0;0;373;134;0;134;0
"Lamm Leber roh";0;0;0;0;1780;0;0;0;0;0;0;1780;0;0;0;0;0
"Quark";4000;0;0;0;0;4000;0;0;0;0;0;0;0;0;0;0;0
"Apfelkuchen aus Rührmasse";12730;3618;54;1090;0;125;0;0;4762;12;41;10492;12605;346;10492;346;0
"Kuhmilch Trinkmilch fettarm";4900;0;0;0;0;4900;0;0;0;0;0;0;0;0;0;0;0
"Puderzucker";99800;0;0;0;0;0;0;0;0;40;0;0;99800;0;0;0;0
"Brathähnchen Schenkel roh";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Pökelwaren Eisbein";889;0;0;0;0;0;0;0;0;0;0;0;889;0;0;0;0
"Granatapfel frisch";284;7365;0;9051;0;0;0;0;16416;0;0;0;284;0;0;0;0
"Dinkelbrot (Vollkornbrot)";4697;96;0;122;0;107;927;0;218;0;214;34338;3663;0;34338;0;0
"Distelöl (Safloröl)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Pute frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Chinakohl frisch gegart";221;315;0;309;0;0;0;0;624;0;0;36;221;0;36;0;0
"Bleichsellerie Gemüsesaft";465;500;0;501;0;0;0;179;1001;0;0;143;465;0;143;179;0
"Zwetschge Konfitüre";63953;736;0;1585;0;0;0;0;2321;25;0;0;63953;0;0;0;0
"Hering frisch Fischzuschnitt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Erbsen grün tiefgefroren gegart";4957;248;0;371;0;0;0;0;619;0;620;6199;4957;0;6199;0;0
"Milchreis (Zubereitung Gastronomie)";3827;1196;0;1078;0;3740;0;0;2274;0;47;15222;87;0;15222;0;0
"Reisbrot";935;49;0;50;0;0;13;0;99;0;182;45752;922;0;45752;0;0
"Weizenkeimöl";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Pinienkern";146;0;0;0;0;0;0;0;0;0;0;7154;146;0;7154;0;0
"Dattel frisch";65;31330;0;33605;0;0;0;0;64935;0;0;0;65;0;0;0;0
"Hirse Korn geschält roh";1450;0;0;0;0;0;0;0;0;712;688;60000;1450;0;60000;0;0
"Edelkastanien (Maronen) geröstet";12739;0;0;0;0;0;0;0;0;0;0;25021;12739;0;25021;0;0
"Tee grün (Getränk)";0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"Schlackwurst";19;278;0;273;0;0;0;0;551;0;8;9;19;0;9;0;0
"Brathähnchen Brustfilet gebraten (zubereitet ohne Fett)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Graubrot-Roggenmischbrot mit Sonnenblumenkernen";2375;315;0;466;0;0;1813;0;781;105;73;39710;562;0;39710;0;0
"Wassermelone roh";2350;3917;0;2024;0;0;0;0;5941;0;0;0;2350;0;0;0;0
"Knäckebrot-Roggenmischbrot mit Leinsamen";3733;497;0;736;0;0;2862;0;1233;123;115;61841;871;0;61841;0;0
"Rind Niere frisch";0;0;0;0;900;0;0;0;0;0;0;900;0;0;0;0;0
"Porree frisch gegart";453;904;0;704;0;0;38;75;1608;805;377;0;415;0;0;75;0
"Kartoffeln ungeschält roh";312;156;0;234;0;0;0;0;390;0;0;14914;312;0;14914;0;0
"Haselnuss geröstet";5431;0;0;0;0;0;0;0;0;0;0;0;5431;0;0;0;0
"Dattel";65;31330;0;33605;0;0;0;0;64935;0;0;0;65;0;0;0;0
"Kümmelwurst Rohwurst";12;75;0;89;0;0;0;0;164;0;0;17;12;0;17;0;0
"Thüringer Rotwurst";22;24;0;38;120;0;0;0;62;0;25;120;22;0;0;0;0
"Mandeldrink ungesüßt";16,2;1,8;0;2;0;0;0;0;3,8;0;0;0;0;0;20;0;0
"Reis Kleie";46;46;0;46;0;0;0;0;92;0;0;45562;46;0;45562;0;0
"Kartoffelsuppe (Zubereitung Haushalt)";161;117;0;147;0;9;0;3;264;1;13;5885;152;0;5885;3;0
"Buchweizenvollkornbrot";340;43;0;560;0;0;0;0;603;0;170;41685;340;0;41685;0;0
"Burgunder Schinken in Aspik";0;24;0;38;113;0;0;0;62;0;0;147;0;0;34;0;0
"Sesam geröstet";185;0;0;0;0;0;0;0;0;0;0;9091;185;0;9091;0;0
"Zungenpreßkopf";596;125;0;152;277;0;0;0;277;0;15;326;596;0;49;0;0
"Preßköpfe";21;104;0;119;0;0;0;0;223;0;0;9;21;0;9;0;0
"Kasseler Kamm roh geräuchert";889;0;0;0;0;0;0;0;0;0;0;0;889;0;0;0;0
"Glühwein";13010;1155;0;585;0;0;0;0;1760;5;0;1;13010;0;1;0;0
"Walnussöl";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Kokosnuss Mehl";18000;0;0;0;0;0;0;0;0;0;1000;0;18000;0;1000;0;0
"Fladenbrote";885;50;0;52;0;0;13;0;102;30;196;46896;872;0;46896;0;0
"Graubrot mit Käse";2405;321;0;474;0;0;1844;0;795;80;74;39865;561;0;39865;0;0
"Schinkenpreßkopf";41;87;0;108;41;0;0;0;195;0;0;108;41;0;67;0;0
"Graubrot-Roggentoastbrot";4875;442;0;634;0;655;2319;0;1076;0;25;40086;1901;0;40086;0;0
"Hirse Flocken";1605;0;0;0;0;0;0;0;0;712;761;66394;1605;0;66394;0;0
"Frühstücksfleisch";17;107;0;128;0;0;0;0;235;0;0;11;17;0;11;0;0
"Moosbeere frisch";234;1833;0;1833;0;0;0;0;3666;0;0;0;234;0;0;0;0
"Saure Sahne 20 % Fett";3400;0;0;0;0;3400;0;0;0;0;0;0;0;0;0;0;0
"Olivenpastete";28;88;0;103;0;0;0;0;191;0;0;585;28;0;585;0;0
"Hühnerei Vollei frisch";0;0;0;700;0;0;0;0;700;0;0;0;0;0;0;0;0
"Cabanossi (Brühwurst)";15;113;0;131;60;0;0;0;244;0;0;72;15;0;12;0;0
"Gemüsepaprika rot";64;3744;256;2336;0;0;0;0;6336;0;0;0;64;0;0;0;0
"Lasagne al forno (Zubereitung Gastronomie)";885;113;0;157;298;715;0;2;270;4;56;6387;170;0;6089;2;0
"Straßburger Gänseleberwurst";108;111;0;139;2698;0;0;0;250;0;26;2705;108;0;7;0;0
"Joghurt teilentrahmt";3034;0;1025;41;0;3034;0;0;1066;0;0;0;0;0;0;0;0
"Garnele frisch";0;0;0;0;910;0;0;0;0;0;0;910;0;0;0;0;0
"Brühwurst";21;115;0;132;0;0;0;0;247;0;0;11;21;0;11;0;0
"Spitzpaprika rot";64;3744;256;2336;0;0;0;0;6336;0;0;0;64;0;0;0;0
"Zungenwurst hell";262;93;0;110;112;0;0;0;203;0;0;210;262;0;98;0;0
"Kaffee mit Kondensmilch und Zucker (Getränk)";2210;2;0;2;0;61;0;0;6;1;0;271;2149;0;0;0;0
"Rinderbierschinken";15;71;0;82;0;0;0;0;153;0;0;6;15;0;6;0;0
"Geflügelfleischkäse gekocht";61;156;0;164;0;0;0;0;320;0;0;8;61;0;8;0;0
"Hafer Vollkornflocken";772;0;0;0;0;0;60;0;0;0;598;58171;712;0;58171;0;0
"Zuckermelone - Honigmelone";9500;1300;0;1600;0;0;0;0;2900;0;0;0;9500;0;0;0;0
"Füllung für Spanferkel";220;252;0;314;806;0;0;0;566;0;39;5776;220;0;4970;0;0
"Getrüffelte Zungenpastete";70;48;0;81;137;29;0;268;129;5;29;7152;41;0;7015;268;0
"Gurke frisch";91;878;0;787;0;0;0;54;1665;0;0;0;91;0;0;54;0
"Casein";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Schwein Speck und Schinken";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Makrele geräuchert";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Zungenblutwurst";591;123;0;168;279;0;0;0;291;0;52;287;591;0;8;0;0
"Lupinenmehl";460;0;0;0;0;0;0;0;0;3530;575,1;0;500;0;10464,9;0;0
"Eiscreme";30658;0;0;0;0;3875;0;0;0;11;0;0;26783;0;0;0;0
"Wurst";10;91;0;109;0;0;0;0;203;0;0;10;10;0;10;0;0
"Pastinake roh";2560;256;0;245;0;0;0;0;501;630;1808;8990;2560;0;8990;0;0
"Olivenöl";4;0;0;0;0;0;0;0;0;0;0;196;4;0;196;0;0
"Schinken-Käsesülze";741;110;0;203;143;0;1;3;313;5;80;339;740;0;196;3;0
"Kartoffelstärke Mehl";0;0;0;0;0;0;0;0;0;0;0;83100;0;0;83100;0;0
"Mandeldrink gesüßt";2375,2;11,6;0;13,2;0;0;0;0;24,8;0,9;0;0;2400;0;0;0;0
"Füllung für Kalbsbrust";157;74;0;222;268;35;1;0;296;4;29;5593;121;0;5325;0;0
"Blattspinat gegart";191;95;0;119;0;0;0;0;214;0;0;72;191;0;72;0;0
"Erdbeere frisch";985;2281;0;2156;0;0;0;0;4454;0;0;0;985;33;0;61;28
"Tilsiter";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Wiener Schnitzel (Zubereitung Großküche)";1491;53;0;85;0;856;0;0;138;4;26;15640;635;0;15640;0;0
"Graupenblutwurst";482;142;0;168;179;0;159;0;310;0;105;15544;323;0;15365;0;0
"Schupfnudeln (Zubereitung Haushalt)";249;107;0;266;0;0;0;0;373;8;48;20939;249;0;20939;0;0
"Kasseler Rippenspeer roh geräuchert";889;0;0;0;0;0;0;0;0;0;0;0;889;0;0;0;0
"Limette Fruchtsaft";14193;561;0;561;0;0;0;0;1122;7;0;0;14193;0;0;0;0
"Blumenkohl gedämpft";212;930;0;989;0;0;0;0;1919;0;0;301;212;0;301;27;27
"Putenbrust gebraten, mit Soße (Zubereitung Großküche)";701;955;0;903;0;0;4;18;1858;54;120;50;697;0;50;18;0
"Preßsäckel";21;104;0;119;0;0;0;0;223;0;0;9;21;0;9;0;0
"Vollkornbrot-Roggenvollkornbrot";657;61;0;68;0;0;92;0;129;0;359;36427;565;0;36427;0;0
"Sauermilchkäse (Harzer) Magerstufe";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Mandel süß Mehl";4750;530;0;597;0;0;0;0;1127;0;0;0;4750;0;0;0;0
"Rettich weiß frisch";95;567;0;1228;0;0;0;0;1795;0;0;0;95;0;0;0;0
"Pute Brust frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Zwiebeln";1550;1103;0;1348;0;0;0;0;2451;0;920;0;1550;0;0;0;0
"Grapefruit Fruchtsaft";4082;2052;0;2327;0;0;0;0;4379;1;0;0;4082;0;0;0;0
"Orange Fruchtsaft";4355;2359;0;2080;0;0;0;0;4439;1;0;0;4355;0;0;0;0
"Cabanossi Konserve";15;113;0;131;60;0;0;0;244;0;0;72;15;0;12;0;0
"Puffreis";84;84;0;84;0;0;0;0;168;0;0;83248;84;0;83248;0;0
"Kartoffeln ungeschält roh gegart mit Küchenabfall";240;120;0;179;0;0;0;0;299;0;0;11433;240;0;11433;0;0
"Blumenkohl gekocht";160;760;0;880;0;0;0;0;1640;0;0;230;160;0;230;22;22
"Walnuss europäisch";6890;0;0;0;0;0;0;0;0;0;0;3710;6890;0;3710;0;0
"Rind Herz frisch";0;0;0;0;600;0;0;0;0;0;0;600;0;0;0;0;0
"Sardelle Konserve";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hühnerei Eiweiß frisch gegart";0;0;0;670;0;0;0;0;670;0;0;0;0;0;0;0;0
"Konfitüre, Marmelade mit Fruchtzucker für Diabetiker";146;18428;0;1823;0;0;0;0;20251;0;0;0;146;9111;0;9111;0
"Schinkentorte";1445;292;0;380;73;550;0;0;672;0;0;340;895;0;267;0;0
"Sülzwürste";131;84;0;102;49;0;0;0;186;0;0;60;131;0;11;0;0
"Wiener Würstchen Konserve";20;66;0;84;0;0;0;0;150;0;0;20;20;0;20;0;0
"Fenchelgemüse gedünstet (Zubereitung Haushalt)";401;1152;0;1353;0;26;0;0;2505;0;0;0;375;0;0;0;0
"Skyr";4300;0;0;0;0;4300;0;0;0;0;0;0;0;0;0;0;0
"Bierschinken-Pastete";512;7;0;12;0;30;0;0;19;5;29;7357;482;0;7357;0;0
"Parmesan";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Köhler tiefgefroren gegart";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rotkohl frisch gegart";252;1284;0;931;0;0;0;0;2215;0;0;50;252;0;50;0;0
"Bierschinken, Schinkenpastete";12;60;0;70;0;0;0;0;130;0;0;5;12;0;5;0;0
"Brötchen-Weizenbrötchen";933;53;0;55;0;0;14;0;108;32;206;49404;919;0;49404;0;0
"Curry-Bratwurst";46;130;0;137;0;0;0;0;267;1;1;15;46;0;15;0;0
"Ricotta Vollfettstufe";500;0;0;0;0;500;0;0;0;0;0;0;0;0;0;0;0
"Rind Gulasch (mager) frisch gegart";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Fleischwurst, Stadtwurst";17;101;0;121;0;0;0;0;222;0;0;10;17;0;10;0;0
"Mettwurst grob";7;76;0;94;0;0;0;0;170;0;0;10;7;0;10;0;0
"Schwartenmagen";20;219;0;267;141;0;0;0;493;0;0;168;20;0;27;0;0
"Brötchen mit Milch";2563;52;0;53;0;1643;14;0;105;30;204;48757;906;0;48757;0;0
"Pute Truthahn gegart";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Frischkäse Doppelrahmstufe";2500;0;0;0;0;2500;0;0;0;0;0;0;0;0;0;0;0
"Edamer";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Seitan (braun)";375;127;0;115;0;0;0;0;242;35;39;7137;375;0;7137;0;0
"Bismarckhering Konserve, abgetropft";1851;151;0;240;0;0;0;0;391;0;123;836;1851;0;836;0;0
"Tatar (Schabefleisch) frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Moosbeere";234;1833;0;1833;0;0;0;0;3666;0;0;0;234;0;0;0;0
"Pfälzer, Augsburger, Regensburger";15;113;0;131;60;0;0;0;244;0;0;72;15;0;12;0;0
"Weißer Fleischkäse";5;48;0;57;0;0;0;0;105;0;0;6;5;0;6;0;0
"Schwein Rücken (Kotelett) (mittelfett) frisch gegart";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bratkartoffeln (Zubereitung Gastronomie)";303;158;0;230;0;35;0;0;388;0;0;12715;268;0;12715;0;0
"Xylit";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99000;99000
"Suppenhuhn Klein frisch gegart";0;0;0;0;2784;0;0;0;0;0;0;2784;0;0;0;0;0
"Brötchen-Weizenmischbrötchen";1533;224;0;308;0;0;1028;0;532;192;180;45233;505;0;45233;0;0
"Pizza tonno (Zubereitung Gastronomie)";367;1067;0;987;0;0;0;0;2054;14;78;19411;367;0;19411;0;0
"Haferflocken";770;0;0;0;0;0;60;0;0;0;596;57992;710;0;57992;0;0
"Kondensmilch 10 % Fett";12500;0;0;0;0;2500;0;0;0;0;0;0;10000;0;0;0;0
"Mettwurst schnittfeste Gruppe";7;67;0;81;0;0;0;0;148;0;0;9;7;0;9;0;0
"Reisnudeln";333;83;0;83;0;0;0;0;166;0;333;82408;333;0;82408;0;0
"Kalbfleisch-Galantine";1;12;0;18;0;0;0;0;30;0;0;1;1;0;1;0;0
"Kabeljau frisch Fischzuschnitt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Spätzle (Zubereitung Gastronomie)";86;21;0;149;0;0;0;0;170;15;86;21296;86;0;21296;0;0
"Wildbret-Galantine                     ";5;56;0;66;0;0;0;0;122;0;0;7;5;0;7;0;0
"Champignon Konserve gegart abgetropft";14;22;0;52;0;0;0;356;74;0;0;0;14;0;0;356;0
"Sprotte frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Buchweizen Vollkorn";284;71;0;71;0;0;0;0;142;0;0;70574;284;0;70574;0;0
"Rührei (Zubereitung Haushalt)";982;0;0;565;0;982;0;0;565;0;0;0;0;0;0;0;0
