name;Kategorie;Energie (kcal);Fett;Kohlenhydrate;Netto-Kohlenhydrate;Eiweiß, Proteingehalt;Ballaststoffe;Wasser;Alkohol (Ethanol);Mineralstoffe (Rohasche);organische Säuren;PRAL-Wert
Plockwurst;Wurst, Fleischwaren;432;37;0,3;0,3;25,6;0,1;31,5;0;5,6;0;10,8
Rote Rübe frisch;Gemüse und Gemüseerzeugnisse;42;0,1;8,4;8,4;1,5;2,5;86,3;0;1;0,2;5,7
"Putenschnitzel ""italienische Art"" (Zubereitung Gastronomie)";Menükomponenten;188;9,4;6,6;6,6;19,1;0,4;62,9;0;1,5;0;9,6
Leinsamen geschrotet;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;450;36,9;7,8;7,8;22,5;21,8;7,6;0;3,4;0;4,3
Lebkuchenteigbackwaren;Kuchen, Feinbackwaren, Dauerbackwaren;412;19,8;49,4;49,4;8,8;5,2;15,2;0;1,2;0,4;1,1
Champignonpastete mit Mürbeteig;Wurst, Fleischwaren;315;26,2;9;NA;11,4;0,7;49,8;0;2,8;0;4,1
Schweinegrillschnitten                   ;Wurst, Fleischwaren;188;11,2;1;NA;21;0,3;62,5;0;3,9;0;7,5
Schwein Filet (mager) frisch;Fleisch (Rind, Kalb, Schwein, Hammel, Lamm);107;2;0;NA;22;0;74,8;0;1,2;0;9
Filetblutwurst;Wurst, Fleischwaren;247;17,4;0,6;0,6;22,4;0;54,8;0;4,8;0;10,4
Hanfnussöl;Fette, Öle, Butter, Schmalz;898;99,8;0;NA;0;0;0,2;0;0;0;0
Apfel-Streuselkuchen aus Mürbeteig fettreich;Kuchen, Feinbackwaren, Dauerbackwaren;232;11;31,2;30,8;2;1,8;53,4;0;0,3;0,4;0,9
Hühnerei Vollei;Eier und Eierprodukte, Teigwaren;154;11,2;0,7;0,7;12,9;0;74,1;0;1,1;0;10,2
Sardine Konserve abgetropft;Fische, Krusten-, Schalen-, Weichtiere;117;4,5;0;NA;19,1;0;72,9;0;3,4;0;8,5
Cervelatwurst;Wurst, Fleischwaren;369;32,4;0,3;0,3;20,1;0,1;42,8;0;4,3;0;8,3
Kalbfleischwurst;Wurst, Fleischwaren;321;30,1;0,2;0,2;13,4;0;53,4;0;2,9;0;6,1
Hirse roh;Cerealien, Getreide und Getreideprodukte, Reis;357;3,9;68,8;68,8;10,6;3,9;10,5;0;1,6;0;8,4
Eisbergsalat;Gemüse und Gemüseerzeugnisse;13;0,2;1,6;1,6;1;1,8;94,6;0;0,5;0,3;2,6
Petersilienblatt frisch;Gemüse und Gemüseerzeugnisse;53;0,4;7,4;7,4;4,4;4,3;81,1;0;2,1;0,4;18,3
Mandelmus;Vegetarische Produkte;664;59,1;19,7;19,7;15,1;1,5;1;0;3,6;0;3,2
Paranuss;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;660;66,8;3,6;3,6;13,6;8,1;4,3;0;3,6;0;12,2
Zander tiefgefroren;Fische, Krusten-, Schalen-, Weichtiere;84;0,7;0;NA;19,2;0;78,9;0;1,2;0;7,4
Brie Vollfettstufe;Milch, Milcherzeugnisse, Käse;284;22,4;0;NA;21;0;52;0;4,2;0,4;15,8
Erdnussbutter, -mus;Fette, Öle, Butter, Schmalz;597;50;12,2;12,2;26,1;7,6;0,7;0;3,4;0;4,8
Fenchel;Gemüse und Gemüseerzeugnisse;19;0,2;3;2,9;1,4;2;92,4;0;1;0;6,5
Lamm Leber roh;Fleisch (Wild, Geflügel, Federwild, Innereien);134;5;1,8;1,8;20,4;0;71,4;0;1,4;0;16,3
Quark;Milch, Milcherzeugnisse, Käse;75;0,2;4;NA;13,5;0;80,7;0;0,9;0,8;8,9
Apfelkuchen aus Rührmasse;Kuchen, Feinbackwaren, Dauerbackwaren;214;9,5;28,4;NA;3,4;1,6;56,2;0;0,5;0,3;1,9
Kuhmilch Trinkmilch fettarm;Milch, Milcherzeugnisse, Käse;48;1,6;4,9;4,9;3,4;0;89,2;0;0,7;0,2;0,2
Puderzucker;Süßwaren, Zucker, Bonbons, Schokolade, Brotaufstrich süß, Eis;405;0;99,8;99,8;0;0;0,1;0;0;0;0,1
Brathähnchen Schenkel roh;Fleisch (Wild, Geflügel, Federwild, Innereien);173;11,2;0;NA;18,2;0;69,5;0;1,1;0;9,6
Pökelwaren Eisbein;Wurst, Fleischwaren;154;9,1;0,9;0,9;17,2;0;65,9;0;6,8;0;6,3
Granatapfel frisch;Früchte, Obst und Obsterzeugnisse;78;0,6;16,7;16,7;0,7;2,2;78,5;0;0,7;0,6;5,3
Dinkelbrot (Vollkornbrot);Brot- und Kleingebäck;234;3,5;39,5;39,5;10,4;4,4;40,1;0;2,1;0;4,9
Distelöl (Safloröl);Fette, Öle, Butter, Schmalz;879;99,5;0;NA;0;0;0,5;0;0;0;0
Pute frisch;Fleisch (Wild, Geflügel, Federwild, Innereien);216;15;0;NA;20,6;0;63,2;0;1,2;0;11,1
Chinakohl frisch gegart;Gemüse und Gemüseerzeugnisse;12;0,3;0,9;0,9;1,1;1,9;94,8;0;0,6;0,4;0,7
Bleichsellerie Gemüsesaft;Gemüse und Gemüseerzeugnisse;14;0,2;1,8;1,6;1;0,3;94,6;0;1,6;0,5;5,7
Zwetschge Konfitüre;Früchte, Obst und Obsterzeugnisse;272;0;66,3;66,3;0,2;0,8;31,9;0;0,2;0,5;1,6
Hering frisch Fischzuschnitt;Fische, Krusten-, Schalen-, Weichtiere;206;15;0;NA;18,2;0;65,3;0;1,5;0;9,1
Erbsen grün tiefgefroren gegart;Gemüse und Gemüseerzeugnisse;84;0,5;12,4;12,4;6,9;5,5;73,5;0;0,9;0,3;0,9
Milchreis (Zubereitung Gastronomie);Menükomponenten;129;2,9;21,4;21,4;3,9;0,3;70,7;0;0,7;0,2;0,8
Reisbrot;Brot- und Kleingebäck;235;1,7;47;NA;7,2;3,6;38,5;0;2,1;0;4,5
Weizenkeimöl;Fette, Öle, Butter, Schmalz;879;99,5;0;NA;0;0;0,5;0;0;0;0
Pinienkern;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;575;50,7;7,3;7,3;24;7,2;6,4;0;4,4;0;11,6
Dattel frisch;Früchte, Obst und Obsterzeugnisse;280;0,5;65;NA;2;8,7;21,4;0;1,2;1,3;12,6
Hirse Korn geschält roh;Cerealien, Getreide und Getreideprodukte, Reis;357;3,9;68,8;68,8;10,6;3,9;10,5;0;1,6;0;8,4
Edelkastanien (Maronen) geröstet;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;261;10,9;37,8;37,8;2,7;7,7;39,9;0;1,1;0;10,8
Tee grün (Getränk);Alkoholfreie Getränke;0;0;0;NA;0,1;0;99,8;0;0,1;0;0,5
Schlackwurst;Wurst, Fleischwaren;391;36,5;0,6;0,6;16,4;0;42,8;0;3,8;0;6,7
Brathähnchen Brustfilet gebraten (zubereitet ohne Fett);Fleisch (Wild, Geflügel, Federwild, Innereien);115;0,7;0;NA;26,8;0;71,3;0;1,2;0;14,8
Graubrot-Roggenmischbrot mit Sonnenblumenkernen;Brot- und Kleingebäck;226;2,9;42,9;42,9;6,4;4,8;41,1;0;1,7;0,1;3
Wassermelone roh;Früchte, Obst und Obsterzeugnisse;38;0,2;8,3;8,3;0,6;0,2;90,2;0;0,4;0,1;-2
Knäckebrot-Roggenmischbrot mit Leinsamen;Brot- und Kleingebäck;343;3,3;66,9;66,9;10,2;9,6;7;0;2,7;0,1;5,2
Rind Niere frisch;Fleisch (Wild, Geflügel, Federwild, Innereien);96;3,3;0,9;0,9;15,7;0;78,9;0;1,2;0;11,4
Porree frisch gegart;Gemüse und Gemüseerzeugnisse;23;0,3;2,5;2,4;2,3;2,3;90,8;0;0,8;0,2;1,5
Kartoffeln ungeschält roh;Kartoffeln und Kartoffelerzeugnisse, stärkereiche Pflanzenteile, Pilze;73;0;15,6;15,6;1,9;1,2;79,6;0;1;0,6;6,6
Haselnuss geröstet;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;671;66,7;5,4;5,4;14,8;7;3,8;0;2,3;0;2,9
Dattel;Früchte, Obst und Obsterzeugnisse;280;0,5;65;NA;2;8,7;21,4;0;1,2;1,3;12,6
Kümmelwurst Rohwurst;Wurst, Fleischwaren;308;27,8;0,2;0,2;15,2;0;53,2;0;3,6;0;6,5
Thüringer Rotwurst;Wurst, Fleischwaren;173;10,2;0,2;0,2;20,2;0;66,5;0;2,8;0;8,8
Mandeldrink ungesüßt;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;13;1,1;0;NA;0,4;0,3;97,4;0;0,5;250;5,8
Reis Kleie;Cerealien, Getreide und Getreideprodukte, Reis;379;15,8;45,7;45,7;13,3;12;9,7;0;3,5;0;24,9
Kartoffelsuppe (Zubereitung Haushalt);Menükomponenten;42;1,4;6,3;6,3;0,9;0,9;89,5;0;0,9;0,2;-2
Buchweizenvollkornbrot;Brot- und Kleingebäck;215;1,4;42,8;42,8;7,1;5,2;41,2;0;2,4;0;4,8
Burgunder Schinken in Aspik;Wurst, Fleischwaren;120;2,3;0,2;0,2;24,3;0,1;71,7;0;1,4;0;8,6
Sesam geröstet;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;600;54,9;9,3;9,3;19;10,2;1,8;0;4,8;0;3,6
Zungenpreßkopf;Wurst, Fleischwaren;257;22,5;1,2;1,2;13,2;0,1;58,2;0;4,8;0;6,6
Preßköpfe;Wurst, Fleischwaren;285;23,8;0,3;0,3;18;0,1;54,5;0;3,3;0,1;7,2
Kasseler Kamm roh geräuchert;Wurst, Fleischwaren;155;7,5;0,9;0,9;20,9;0;67,5;0;3,2;0;8,9
Glühwein;Alkoholische Getränke;105;0;14,8;14,8;0,2;0,1;78,3;6,2;0,2;0,3;0,9
Walnussöl;Fette, Öle, Butter, Schmalz;879;99,5;0;NA;0;0;0,5;0;0;0;0
Kokosnuss Mehl;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;360;14;20;NA;21;35;8,5;0;1,5;0;4,9
Fladenbrote;Brot- und Kleingebäck;235;1,3;48,1;48,1;7,1;3;39,1;0;1,5;0;3,5
Graubrot mit Käse;Brot- und Kleingebäck;214;1,5;43,1;43,1;6,2;4,6;42,7;0;1,7;0,1;3,2
Schinkenpreßkopf;Wurst, Fleischwaren;210;15,6;0,3;0,3;17,4;0,1;63,3;0;3,4;0;6,5
Graubrot-Roggentoastbrot;Brot- und Kleingebäck;247;3,5;46,1;46,1;7,2;6,1;35;0;2,1;0,1;2,8
Hirse Flocken;Cerealien, Getreide und Getreideprodukte, Reis;357;3,9;68,8;68,8;10,6;3,9;10,5;0;1,6;0;8,4
Frühstücksfleisch;Wurst, Fleischwaren;289;25,2;0,3;0,3;16;0,1;55,7;0;2,7;0,1;6,1
Moosbeere frisch;Früchte, Obst und Obsterzeugnisse;36;0,7;3,9;3,9;0,4;3,8;87,1;0;0,2;3,9;1,7
Saure Sahne 20 % Fett;Milch, Milcherzeugnisse, Käse;204;20;3,4;3,4;2,8;0;72,6;0;0,5;0,7;0
Olivenpastete;Wurst, Fleischwaren;275;23,9;0,8;0,8;14,7;0,9;56,5;0;3;0,1;5,5
Hühnerei Vollei frisch;Eier und Eierprodukte, Teigwaren;154;11,2;0,7;0,7;12,9;0;74,1;0;1,1;0;10,2
Cabanossi (Brühwurst);Wurst, Fleischwaren;331;30,9;0,3;0,3;13,7;0,1;52,1;0;2,7;0,1;5,6
Gemüsepaprika rot;Gemüse und Gemüseerzeugnisse;37;0,5;6,4;6,4;1,3;3,6;87,3;0;0,6;0,3;4,2
Lasagne al forno (Zubereitung Gastronomie);Menükomponenten;150;9,7;7,6;7,6;8,3;0,7;72,1;0;1,5;0,1;3,4
Straßburger Gänseleberwurst;Wurst, Fleischwaren;244;17;3,1;3,1;20;0,1;56,2;0;3,5;0,1;13,4
Joghurt teilentrahmt;Milch, Milcherzeugnisse, Käse;46;1,5;4,1;4,1;3,4;0;89,5;0;0,8;0,8;0,4
Garnele frisch;Fische, Krusten-, Schalen-, Weichtiere;102;1,7;0,9;0,9;20,3;0;75,8;0;1,2;0;12
Brühwurst;Wurst, Fleischwaren;296;26,4;0,3;0,3;15,2;0,1;55,1;0;2,9;0,1;6,4
Spitzpaprika rot;Gemüse und Gemüseerzeugnisse;37;0,5;6,4;6,4;1,3;3,6;87,3;0;0,6;0,3;4,2
Zungenwurst hell;Wurst, Fleischwaren;265;22,3;0,7;0,7;15,9;0,2;57,5;0;3,4;0;6,8
Kaffee mit Kondensmilch und Zucker (Getränk);Alkoholfreie Getränke;14;0,2;2,5;2,5;0,4;0;96,7;0;0,1;0;1,3
Rinderbierschinken;Wurst, Fleischwaren;194;12;0,2;0,2;21,4;0;63,1;0;3,2;0,1;9
Geflügelfleischkäse gekocht;Wurst, Fleischwaren;176;6,7;0,4;0,4;28,4;0,1;60,6;0;3,8;0;14,3
Hafer Vollkornflocken;Cerealien, Getreide und Getreideprodukte, Reis;354;6,7;59,5;59,5;13,2;9,7;10,1;0;0,9;0;7,1
Zuckermelone - Honigmelone;Früchte, Obst und Obsterzeugnisse;55;0,1;12,4;12,4;0,9;0,7;85,4;0;0,4;0,1;5,7
Füllung für Spanferkel;Wurst, Fleischwaren;221;15,6;6,6;6,6;13,7;1;60,4;0;2,4;0,2;5,8
Getrüffelte Zungenpastete;Wurst, Fleischwaren;312;25,8;7,6;7,4;13,2;1,2;50;0;2,1;0;5,7
Gurke frisch;Gemüse und Gemüseerzeugnisse;12;0,2;1,8;1,8;0,6;0,5;96;0;0,6;0,3;2,2
Casein;Milch, Milcherzeugnisse, Käse;338;0,8;0;NA;81,5;0;16;0;1,7;0;63,2
Schwein Speck und Schinken;Wurst, Fleischwaren;152;7,7;0;NA;20,7;0;70,6;0;1;0;9,5
Makrele geräuchert;Fische, Krusten-, Schalen-, Weichtiere;335;29,2;0;NA;18,9;0;50,8;0;2,6;0;9
Zungenblutwurst;Wurst, Fleischwaren;293;23,6;1,2;1,2;19,4;0,1;51,3;0;4,3;0;10,3
Lupinenmehl;Gemüse und Gemüseerzeugnisse;340;8,1;11,5;11,5;38,4;29,5;6,2;0;2,1;628;5,8
Eiscreme;Süßwaren, Zucker, Bonbons, Schokolade, Brotaufstrich süß, Eis;160;2,7;30,7;30,7;2,6;0;63;0;0,8;0,3;0,4
Wurst;Wurst, Fleischwaren;355;30,8;0,2;0,2;20,1;0,1;44,5;0;4,3;0;8,3
Pastinake roh;Gemüse und Gemüseerzeugnisse;59;0,4;12,1;12,1;1,3;2,1;81,8;0;1,2;0,5;8,6
Olivenöl;Fette, Öle, Butter, Schmalz;881;99,6;0,2;0,2;0;0;0,1;0;0,2;0;0
Schinken-Käsesülze;Wurst, Fleischwaren;145;7,7;1,5;1,5;17,4;0,1;70,2;0;2,8;0,3;8,5
Kartoffelstärke Mehl;Kartoffeln und Kartoffelerzeugnisse, stärkereiche Pflanzenteile, Pilze;341;0,1;83,1;83,1;0,6;0,1;15,7;0;0,4;0,1;0,4
Mandeldrink gesüßt;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;22;1,1;2,4;2,4;0,4;0,4;95,3;0;0,4;40;0,9
Füllung für Kalbsbrust;Wurst, Fleischwaren;258;20,6;6,1;6,1;12,6;0,4;58;0;2,4;0;5,1
Blattspinat gegart;Gemüse und Gemüseerzeugnisse;19;0,3;0,5;0,5;2,8;3;91;0;1,5;0,9;7,6
Erdbeere frisch;Früchte, Obst und Obsterzeugnisse;32;0,4;5,5;5,4;0,8;2;89,8;0;0,5;1;2,4
Tilsiter;Milch, Milcherzeugnisse, Käse;354;27,7;0;NA;26,3;0;40,3;0;4,9;0,8;18,6
Wiener Schnitzel (Zubereitung Großküche);Menükomponenten;211;7,6;17,3;17,3;18,1;1,1;54,3;0;1,5;0,1;9,6
Graupenblutwurst;Wurst, Fleischwaren;283;20,3;16,4;16,4;9;1,2;50,8;0;2,3;0;2,9
Schupfnudeln (Zubereitung Haushalt);Menükomponenten;127;2;21,6;21,6;5;2,2;67,7;0;1,1;0,4;0,8
Kasseler Rippenspeer roh geräuchert;Wurst, Fleischwaren;147;8,3;0,9;0,9;17,4;0;66,6;0;6,9;0;7
Limette Fruchtsaft;Früchte, Obst und Obsterzeugnisse;92;1,7;15,3;15,3;0,4;0,1;78;0;0,2;4,4;1,3
Blumenkohl gedämpft;Gemüse und Gemüseerzeugnisse;24;0,3;2,5;2,4;2,6;3,1;90,6;0;0,8;0,2;3,1
Putenbrust gebraten, mit Soße (Zubereitung Großküche);Menükomponenten;68;1,6;2,8;2,7;10,5;0,8;82,9;0;1,3;0,1;2,7
Preßsäckel;Wurst, Fleischwaren;285;23,8;0,3;0,3;18;0,1;54,5;0;3,3;0,1;7,2
Vollkornbrot-Roggenvollkornbrot;Brot- und Kleingebäck;188;1;37,6;37,6;6,5;8,7;44,1;0;2,1;0,1;3,9
Sauermilchkäse (Harzer) Magerstufe;Milch, Milcherzeugnisse, Käse;131;0,7;0;NA;30;0;63,6;0;4,7;1;19,9
Mandel süß Mehl;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;610;54,9;5,9;5,9;24,9;8,2;4,7;0;1,4;0;3,7
Rettich weiß frisch;Gemüse und Gemüseerzeugnisse;14;0,2;1,9;1,9;1,1;2,5;93,5;0;0,7;0,1;-6
Pute Brust frisch;Fleisch (Wild, Geflügel, Federwild, Innereien);107;1;0;NA;24,1;0;73,7;0;1,2;0;11,6
Zwiebeln;Gemüse und Gemüseerzeugnisse;28;0,3;4,9;4,9;1,2;1,4;91,5;0;0,5;0,2;2,2
Grapefruit Fruchtsaft;Früchte, Obst und Obsterzeugnisse;48;0,1;8,5;8,5;0,5;0,1;87,3;0;0,3;3,2;2,8
Orange Fruchtsaft;Früchte, Obst und Obsterzeugnisse;45;0,2;8,8;8,8;0,9;0,2;88,2;0;0,5;1,3;2,9
Cabanossi Konserve;Wurst, Fleischwaren;331;30,9;0,3;0,3;13,7;0,1;52,1;0;2,7;0,1;5,6
Puffreis;Cerealien, Getreide und Getreideprodukte, Reis;390;2,3;83,5;83,5;7,5;2;2,5;0;2,2;0;4,3
Kartoffeln ungeschält roh gegart mit Küchenabfall;Kartoffeln und Kartoffelerzeugnisse, stärkereiche Pflanzenteile, Pilze;56;0;12;NA;1,5;1;64;0;0,7;0,4;4,6
Blumenkohl gekocht;Gemüse und Gemüseerzeugnisse;19;0,3;2;NA;2;2,4;92,7;0;0,6;0,1;1,4
Walnuss europäisch;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;654;62,5;10,6;10,6;14,4;6,1;4,4;0;2;0;6,3
Rind Herz frisch;Fleisch (Wild, Geflügel, Federwild, Innereien);97;2,7;0,6;0,6;17,5;0;78,2;0;1,1;0;9,7
Sardelle Konserve;Fische, Krusten-, Schalen-, Weichtiere;80;1,8;0;NA;15,8;0;79;0;3,4;0;6,5
Hühnerei Eiweiß frisch gegart;Eier und Eierprodukte, Teigwaren;48;0,2;0,7;0,7;10,6;0;87,8;0;0,7;0;3,4
Konfitüre, Marmelade mit Fruchtzucker für Diabetiker;Diätetische Lebensmittel;109;0,1;29,5;20,4;0,4;0,3;68,9;0;0,2;0,6;0,6
Schinkentorte;Wurst, Fleischwaren;122;5,1;2,5;2,5;16,4;0,5;72,6;0;2,7;0,2;5,6
Sülzwürste;Wurst, Fleischwaren;171;8,3;0,4;0,4;23,5;0,1;64,9;0;2,8;0;9,7
Wiener Würstchen Konserve;Wurst, Fleischwaren;304;27,7;0,2;0,2;14,4;0,1;54,7;0;2,9;0,1;5,9
Fenchelgemüse gedünstet (Zubereitung Haushalt);Menükomponenten;65;4,4;2,9;2,9;3,4;4,3;82,5;0;2,4;0,2;9,5
Skyr;Milch, Milcherzeugnisse, Käse;63;0,5;4,3;4,3;10;0,5;84,1;0;0,6;0;7,1
Bierschinken-Pastete;Wurst, Fleischwaren;261;17,8;7,9;7,9;17,6;0,6;51,6;0;4,5;0;6,9
Parmesan;Milch, Milcherzeugnisse, Käse;440;34,8;0;NA;32,3;0;27;0;5,5;0,4;24,7
Köhler tiefgefroren gegart;Fische, Krusten-, Schalen-, Weichtiere;96;1,1;0;NA;21,3;0;76,4;0;1,2;0;10
Rotkohl frisch gegart;Gemüse und Gemüseerzeugnisse;18;0,2;2,5;2,5;1,4;2,4;92,8;0;0,5;0,2;1,9
Bierschinken, Schinkenpastete;Wurst, Fleischwaren;180;11,9;0,1;0,1;18,3;0;67;0;2,6;0,1;7,1
Brötchen-Weizenbrötchen;Brot- und Kleingebäck;248;1,4;50,7;50,7;7,4;3,2;35,8;0;1,5;0;3,7
Curry-Bratwurst;Wurst, Fleischwaren;273;25,1;0,3;0,3;12,2;0,1;59,7;0;2,6;0;4,8
Ricotta Vollfettstufe;Milch, Milcherzeugnisse, Käse;164;13;0,5;0,5;11,3;0;72,1;0;2,7;0,5;6,2
Rind Gulasch (mager) frisch gegart;Fleisch (Rind, Kalb, Schwein, Hammel, Lamm);157;4,8;0;NA;28,4;0;65,9;0;1;0;16,7
Fleischwurst, Stadtwurst;Wurst, Fleischwaren;283;25,3;0,2;0,2;14,2;0,1;57,3;0;2,7;0,1;6
Mettwurst grob;Wurst, Fleischwaren;311;27,4;0,2;0,2;16,9;0,1;52,5;0;3,1;0;6,8
Schwartenmagen;Wurst, Fleischwaren;181;11,1;0,7;0,7;19,5;0,1;62,5;0;5,9;0,2;6
Brötchen mit Milch;Brot- und Kleingebäck;267;2,5;51,6;51,6;8,5;3,1;32,3;0;1,8;0,1;3,6
Pute Truthahn gegart;Fleisch (Wild, Geflügel, Federwild, Innereien);253;16,2;0;NA;27;0;55,6;0;1,1;0;14,2
Frischkäse Doppelrahmstufe;Milch, Milcherzeugnisse, Käse;335;31,5;2,5;2,5;11;0;53;0;1,4;0,6;7,7
Edamer;Milch, Milcherzeugnisse, Käse;354;28,3;0;NA;24,8;0;41,9;0;4;1;19,1
Seitan (braun);Vegetarische Produkte;137;2,1;7,8;7,8;21,6;0,7;66,5;0;1,3;0;10,2
Bismarckhering Konserve, abgetropft;Fische, Krusten-, Schalen-, Weichtiere;180;11,6;3,2;3,2;15,5;0,5;66,9;0;1,9;0,4;7,7
Tatar (Schabefleisch) frisch;Fleisch (Rind, Kalb, Schwein, Hammel, Lamm);113;3;0;NA;21,4;0;74,4;0;1,2;0;9,3
Moosbeere;Früchte, Obst und Obsterzeugnisse;36;0,7;3,9;3,9;0,4;3,8;87,1;0;0,2;3,9;1,7
Pfälzer, Augsburger, Regensburger;Wurst, Fleischwaren;331;30,9;0,3;0,3;13,7;0,1;52,1;0;2,7;0,1;5,6
Weißer Fleischkäse;Wurst, Fleischwaren;291;26,9;0,1;0,1;13,1;0;57,4;0;2,4;0;5,3
Schwein Rücken (Kotelett) (mittelfett) frisch gegart;Fleisch (Rind, Kalb, Schwein, Hammel, Lamm);210;10,6;0;NA;28,7;0;59,5;0;1,2;0;12,5
Bratkartoffeln (Zubereitung Gastronomie);Menükomponenten;108;5;13,4;13,4;1,9;2,1;75,8;0;1,2;0,6;4,6
Xylit;Diätetische Lebensmittel;236;0;99;NA;0;0;1;0;0;0;0
Suppenhuhn Klein frisch gegart;Fleisch (Wild, Geflügel, Federwild, Innereien);186;9;2,8;2,8;23,4;0;63,9;0;1;0;13,4
Brötchen-Weizenmischbrötchen;Brot- und Kleingebäck;231;0,9;47,5;47,5;7,5;4,5;37,7;0;1,8;0;3,9
Pizza tonno (Zubereitung Gastronomie);Menükomponenten;201;10,2;21,9;21,9;5,3;2;58,8;0;1,5;0,3;0,5
Haferflocken;Cerealien, Getreide und Getreideprodukte, Reis;354;6,7;59,5;59,5;13,2;9,7;10,1;0;0,9;0;7,1
Kondensmilch 10 % Fett;Milch, Milcherzeugnisse, Käse;176;10;12,5;12,5;8,8;0;66,3;0;2;0,4;0,5
Mettwurst schnittfeste Gruppe;Wurst, Fleischwaren;367;34,8;0,2;0,2;14,6;0;46,9;0;3,5;0;6
Reisnudeln;Cerealien, Getreide und Getreideprodukte, Reis;357;0,6;83,2;83,2;3,4;1,6;10,3;0;0,9;0;6,2
Kalbfleisch-Galantine;Wurst, Fleischwaren;120;1,9;0;NA;25,5;0;69,3;0;3,2;0;12,5
Kabeljau frisch Fischzuschnitt;Fische, Krusten-, Schalen-, Weichtiere;77;0,7;0;NA;17,4;0;80,7;0;1,2;0;7,6
Spätzle (Zubereitung Gastronomie);Menükomponenten;130;2,3;21,6;21,6;5,3;1,2;69;0;0,5;0;3,3
Wildbret-Galantine                     ;Wurst, Fleischwaren;195;11,7;0,1;0,1;22,3;0;62,1;0;3,7;0;10,2
Champignon Konserve gegart abgetropft;Kartoffeln und Kartoffelerzeugnisse, stärkereiche Pflanzenteile, Pilze;14;0,2;0,4;0,1;2,6;2;92,9;0;1,6;0,2;0,1
Sprotte frisch;Fische, Krusten-, Schalen-, Weichtiere;214;16,6;0;NA;16,7;0;64,9;0;1,8;0;7,4
Buchweizen Vollkorn;Cerealien, Getreide und Getreideprodukte, Reis;340;1,7;71;NA;9,1;9,9;6,6;0;1,7;0;2,4
Rührei (Zubereitung Haushalt);Menükomponenten;164;12,7;1,5;1,5;11,1;0;73,2;0;1,4;0;8,3
