name;Vitamin A Retinoläquivalent;Vitamin A Retinol;Vitamin A Beta-Carotin;Vitamin B1 Thiamin;Vitamin B2 Riboflavin;Vitamin B3 Niacin, Nicotinsäure;Vitamin B3 Niacinäquivalent;Vitamin B5 Pantothensäure;Vitamin B6 Pyridoxin;Vitamin B7 Biotin (Vitamin H);Vitamin B9 gesamte Folsäure;Vitamin B12 Cobalamin;Vitamin C Ascorbinsäure;Vitamin D Calciferole;Vitamin E Tocopherole;Vitamin K
Buschbohnen grün frisch;310;0;56;81;0;120;570;1053;500;280;7;44;20000;0;132;22
Plockwurst;0;10;11;587;3;293;4668;9351;593;377;2;3;2;0;518;16
Rote Rübe frisch;11;0;2;22;0;42;230;430;130;50;0,1;93;10000;0;47;5
"Putenschnitzel ""italienische Art"" (Zubereitung Gastronomie)";16;40;43;44;0,1;105;5517;9084;466;245;8,5;9;134;0,2;3717;7
Leinsamen geschrotet;24;0;8;233;0;106;1813;8430;0;261;8,3;37;0;1,4;8092;2
Lebkuchenteigbackwaren;579;54;151;77;0;231;1389;2822;407;67;8;23;7282;1;8874;9
Champignonpastete mit Mürbeteig;25;29;33;392;1;159;1823;3873;487;256;2;5;115;0;331;14
Schweinegrillschnitten                   ;40;3;10;822;2;218;2831;6698;562;522;2;3;78;0;271;18
Schwein Filet (mager) frisch;0;6;6;900;2;230;5000;9033;700;500;5;3;0;0;410;18
Filetblutwurst;0;5;5;448;1;126;1172;5239;331;319;1;3;38;0;182;16
Hanfnussöl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Apfel-Streuselkuchen aus Mürbeteig fettreich;59;81;91;24;0;24;160;510;58;47;2;4;1639;0;529;12
Hühnerei Vollei;13;276;278;100;2;310;83;3100;1600;120;25;65;0;2,9;2022;48
Sardine Konserve abgetropft;0;7;7;14;0,1;146;5693;9060;440;563;5,7;2;235;5,3;246;0
Cervelatwurst;0;6;6;608;2;221;3263;6946;480;382;2;2;0;0;396;14
Kalbfleischwurst;1;2;2;245;1;159;2531;4998;539;279;1;4;18;0;241;7
Hirse roh;0;0;0;433;0;109;1800;4367;1000;519;6;20;0;0;100;1
Eisbergsalat;3600;0;600;46;0;30;200;383;46;30;0,7;53;3900;0;570;112
Petersilienblatt frisch;5413;0;902;140;0;300;1350;2533;300;200;0,4;116;166000;0;3703;790
Mandelmus;0;0;0;130;0;610;2875;4892;260;76;0,3;65;500;0;5000;0
Paranuss;0;0;0;1000;0;35;200;2683;230;110;6,5;40;700;0;7600;0
Zander tiefgefroren;0;1;1;120;2;250;2310;5510;170;240;2;8;700;0;1323;0
Brie Vollfettstufe;130;240;262;40;1,8;520;1200;5750;690;200;6;65;0;0,4;570;20
Erdnussbutter, -mus;0;0;0;150;0;100;15000;19350;1240;580;67;53;0;0;6800;10
Fenchel;140;0;23;33;0;110;200;500;0;59;0;37;9000;0;0;0
Lamm Leber roh;0;19895;19895;270;84;3300;14200;18600;8200;420;41;230;10000;0,5;460;0
Quark;1;1;1;40;1;300;150;3083;740;60;7;30;700;0;10;1
Apfelkuchen aus Rührmasse;51;91;100;29;0;51;166;849;190;53;4;7;1352;0;648;15
Kuhmilch Trinkmilch fettarm;8;13;14;40;0,5;180;90;823;350;50;3,5;5;1000;0;37;2
Puderzucker;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brathähnchen Schenkel roh;0;36;36;100;0,3;240;5600;9933;840;245;3;11;0;0;130;0
Pökelwaren Eisbein;0;4;4;681;1;177;2433;5583;521;401;2;2;0;0;219;14
Granatapfel frisch;40;0;7;50;0;20;300;417;600;105;2;7;7000;0;200;10
Dinkelbrot (Vollkornbrot);1;0;0;383;0;178;2262;4295;764;221;14,2;84;26;0;3649;0
Distelöl (Safloröl);0;0;0;0;0;0;0;0;0;0;0;0;0;0;44471;11
Pute frisch;0;13;13;100;0,4;180;10500;14283;1100;460;2;16;0;0;500;0
Chinakohl frisch gegart;405;0;68;16;0;25;254;471;148;76;0;44;12375;0;254;264
Bleichsellerie Gemüsesaft;2676;0;446;25;0;55;423;690;287;46;0;3;2870;0;205;20
Zwetschge Konfitüre;55;0;9;5;0;3;44;44;17;5;0;0;147;0;113;2
Hering frisch Fischzuschnitt;0;28;28;40;8,5;180;3800;6833;940;302;10;5;700;22,5;1500;0
Erbsen grün tiefgefroren gegart;427;0;72;195;0;111;1767;2800;564;104;5;14;10534;0;303;36
Milchreis (Zubereitung Gastronomie);12;21;23;30;0;128;323;1106;374;67;2,9;8;774;0;80;4
Reisbrot;4;3;4;210;0;87;1629;2829;419;165;4;22;1;0;437;15
Weizenkeimöl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;174480;24
Pinienkern;18;0;3;810;0;190;3600;8400;208;110;10;57;1900;0;13650;0
Dattel frisch;36;0;6;70;0;70;2000;2833;800;140;5;21;3000;0;200;10
Hirse Korn geschält roh;0;0;0;433;0;109;1800;4800;1000;519;6;20;0;0;100;1
Edelkastanien (Maronen) geröstet;260;0;44;92;0;135;558;1025;275;192;0,9;28;12372;0;1970;10
Tee grün (Getränk);0;0;0;1;0;10;100;217;1;1;0;5;0;0;0;0
Schlackwurst;0;6;6;483;2;192;2885;5885;422;282;1;2;3;0;357;11
Brathähnchen Brustfilet gebraten (zubereitet ohne Fett);0;26;26;50;0,3;86;8793;13960;804;380;2,2;9;0;0;239;0
Graubrot-Roggenmischbrot mit Sonnenblumenkernen;1;0;0;206;0;77;818;1935;510;138;3,3;26;0;0;2343;28
Wassermelone roh;245;0;41;45;0;50;150;317;1600;70;4;5;6000;0;70;0
Knäckebrot-Roggenmischbrot mit Leinsamen;33;0;6;213;0;147;1086;2986;611;238;5;36;0;0;1285;44
Rind Niere frisch;0;330;330;300;31;2260;6170;9570;3850;390;24;170;11000;1;298;0
Porree frisch gegart;1006;0;168;48;0;46;356;623;110;182;1;31;12076;0;592;224
Kartoffeln ungeschält roh;5;0;1;78;0;7;1220;1720;400;164;0,4;15;18760;0;53;2
Haselnuss geröstet;256;0;43;209;0;95;904;4087;0;360;28;119;0;0;21623;20
Dattel;36;0;6;70;0;70;2000;2833;800;140;5;21;3000;0;200;10
Kümmelwurst Rohwurst;0;5;5;440;2;171;2542;5325;344;265;1;2;2;0;355;10
Thüringer Rotwurst;0;684;684;601;3;342;2791;6491;798;481;3;10;289;0;262;24
Mandeldrink ungesüßt;0;0;0;0;0,4;200;100;100;0;0;0;0,9;0;0,8;0;0
Reis Kleie;0;0;0;2260;0;250;29800;32017;400;200;0,5;10;0;0;2000;1
Kartoffelsuppe (Zubereitung Haushalt);176;9;44;32;0;16;369;569;114;85;0,2;7;4231;0;66;10
Buchweizenvollkornbrot;6;0;1;231;0;106;2864;4164;612;248;5;22;0;0;1011;15
Burgunder Schinken in Aspik;199;5;103;880;2;240;3318;7568;644;611;3;5;455;0;280;29
Sesam geröstet;270;0;45;359;0;159;2877;7294;769;431;5;44;0;0;1750;12
Zungenpreßkopf;1;3;3;497;1;291;2275;4792;1027;409;2;5;227;0;269;11
Preßköpfe;2;4;4;827;2;223;3027;6327;568;517;2;3;26670;0;340;17
Kasseler Kamm roh geräuchert;0;5;5;627;1,3;158;2130;6630;356;438;1,9;1;0;0;237;0
Glühwein;1;0;0;1;0,1;13;69;69;130;13;0,9;1;1301;0;0;0
Walnussöl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3258;15
Kokosnuss Mehl;0;0;0;0;0;0;900;3400;0;100;9,5;11;0;0;0;0
Fladenbrote;4;3;4;76;0;57;764;1931;189;106;2;17;1;0;340;9
Graubrot mit Käse;4;8;9;126;0,1;78;652;1702;369;116;3;23;0;0;705;29
Schinkenpreßkopf;48;4;37;806;2;216;2962;6145;565;536;2;2;9;0;297;17
Graubrot-Roggentoastbrot;21;16;20;201;0;202;1898;3131;773;222;9;85;131;0;1066;33
Hirse Flocken;0;0;0;433;0;109;1800;4367;1000;519;6;20;0;0;100;1
Frühstücksfleisch;80;3;16;647;1;180;2418;5351;461;382;2;2;21809;0;287;14
Moosbeere frisch;22;0;4;30;0;20;100;233;220;70;2;2;11000;0;500;10
Saure Sahne 20 % Fett;120;220;240;40;0,3;170;100;700;380;40;3;11;1000;0,4;600;20
Olivenpastete;45;3;11;555;1;169;2129;4846;374;343;2;11;23257;0;331;11
Hühnerei Vollei frisch;13;276;278;100;2;310;83;3100;1600;120;25;65;0;2,9;2022;48
Cabanossi (Brühwurst);136;5;28;357;2;168;2525;5042;338;204;1;2;21082;0;302;9
Gemüsepaprika rot;2125;0;354;40;0;120;1600;1817;270;450;3;50;140000;0;2900;5
Lasagne al forno (Zubereitung Gastronomie);296;443;537;83;1,6;198;1356;2973;583;117;11,8;23;2315;0,3;503;33
Straßburger Gänseleberwurst;1;7733;7733;416;34;2152;6291;10224;5120;712;71;433;25108;1;333;71
Joghurt teilentrahmt;10;20;22;30;0,4;170;100;900;370;45;3,6;10;1000;0;40;2
Garnele frisch;0;2;2;50;0,9;34;2552;5935;276;104;1;7;2000;0,5;4000;0
Brühwurst;84;2;16;503;1;148;1948;4731;323;306;1;1;22874;0;281;9
Spitzpaprika rot;2125;0;354;40;0;120;1600;1817;270;450;3;50;140000;0;2900;5
Zungenwurst hell;71;3;15;547;1;218;2236;5203;651;371;2;3;100;0;310;10
Kaffee mit Kondensmilch und Zucker (Getränk);0;3;3;3;0;20;670;720;23;2;0,3;1;32;0;5;0
Rinderbierschinken;1;11;11;396;3;245;4139;8039;528;283;2;2;23774;0;326;13
Geflügelfleischkäse gekocht;1;1;1;88;0,5;112;5694;10327;485;416;3,9;5;41;0;554;0
Hafer Vollkornflocken;0;0;0;562;0;28;1000;3883;1090;98;20;87;0;0;800;63
Zuckermelone - Honigmelone;4672;0;779;60;0;20;600;683;170;90;4;30;32000;0;140;1
Füllung für Spanferkel;26;4298;4302;339;11;1196;4713;7413;2547;485;5;54;3007;0;302;42
Getrüffelte Zungenpastete;19;23;26;394;1;211;2178;4628;785;296;2;5;287;0;356;11
Gurke frisch;393;0;66;20;0;30;200;267;240;35;0,9;20;8000;0;63;12
Casein;10;10;12;0;0,2;70;40;17707;150;0;14;3;0;0;20;1
Schwein Speck und Schinken;0;4;4;877;2;226;3094;6894;608;511;3;3;0;0;266;18
Makrele geräuchert;0;72;72;110;7,3;430;7990;11657;0;310;0;54;0;6,9;877;0
Zungenblutwurst;1;4;4;203;1;218;1303;4953;862;260;1;5;265;0;213;14
Lupinenmehl;0;0;0;300;0;200;1600;6700;500;200;10,1;188,3;2500;0;0;43
Eiscreme;16;30;33;30;0;142;72;655;276;35;3;5;1020;0;51;3
Wurst;0;7;7;539;2;225;3449;7132;476;343;2;2;2;0;393;14
Pastinake roh;20;0;3;80;0;130;940;1173;500;110;0;59;18000;0;880;1
Olivenöl;220;120;157;0;0;0;0;0;0;0;0;0;0;0;12077;50
Schinken-Käsesülze;201;40;159;233;1;185;924;4274;397;210;2;8;247;0;211;25
Kartoffelstärke Mehl;0;0;0;6;0;7;140;240;10;10;0;0;0;0;0;0
Mandeldrink gesüßt;0;0;0;0;0,4;200;100;200;0;0;0;1,2;0;0,8;0;0
Füllung für Kalbsbrust;207;63;174;211;2;177;2000;4417;511;180;3;13;239;0;491;26
Blattspinat gegart;5226;0;871;68;0;171;461;1161;217;177;6;48;28992;0;1694;347
Erdbeere frisch;50;0;8;30;0;50;500;733;300;60;4;16;65000;0;120;13
Tilsiter;150;280;305;50;2;350;210;5910;500;60;2;30;0;0,5;760;27
Wiener Schnitzel (Zubereitung Großküche);3;13;14;84;0,6;240;6287;9620;884;301;2,4;16;883;0,1;404;11
Graupenblutwurst;203;8;143;71;1;81;1216;2883;336;192;1;7;494;0;193;7
Schupfnudeln (Zubereitung Haushalt);5;43;44;77;0,3;66;708;1775;427;191;3,4;20;8074;0,5;405;25
Kasseler Rippenspeer roh geräuchert;0;5;5;655;1,4;163;2204;5671;376;463;2,1;1;0;0;230;0
Limette Fruchtsaft;8;0;2;19;0;14;119;152;152;35;0;4;22857;0;350;2
Blumenkohl gedämpft;11;0;2;78;0;92;531;1181;950;188;1,9;35;50441;0;75;33
Putenbrust gebraten, mit Soße (Zubereitung Großküche);648;0;129;74;0;55;3564;5464;266;185;5;9;3798;0;624;45
Preßsäckel;2;4;4;827;2;223;3027;6327;568;517;2;3;26670;0;340;17
Vollkornbrot-Roggenvollkornbrot;4;0;1;102;0;98;1329;2396;534;152;5;36;0;0;1004;31
Sauermilchkäse (Harzer) Magerstufe;10;10;12;30;2;360;700;7200;600;30;1,4;3;0;0;20;1
Mandel süß Mehl;62;0;21;114;0;122;3029;6062;360;15;0;23;0;0;13403;0
Rettich weiß frisch;9;0;2;30;0;30;400;467;180;60;0,5;24;27000;0;10;50
Pute Brust frisch;0;1;1;47;0,5;110;11300;15717;590;460;10;7;0;0;900;0
Zwiebeln;7;0;1;36;0;20;200;567;170;156;4;11;7400;0;67;1
Grapefruit Fruchtsaft;15;0;3;39;0;20;194;261;202;23;0;7;26725;0;253;3
Orange Fruchtsaft;90;0;15;65;0;34;247;397;197;41;2;15;30857;0;246;3
Cabanossi Konserve;136;5;28;357;2;168;2525;5042;338;204;1;2;21082;0;302;9
Puffreis;0;0;0;110;0;100;3000;4250;320;75;1;19;0;0;400;1
Kartoffeln ungeschält roh gegart mit Küchenabfall;4;0;1;52;0;5;837;1220;264;109;0,2;7;11859;0;42;2
Blumenkohl gekocht;9;0;2;90;0;80;510;1010;702;129;1,4;26;49000;0;69;28
Walnuss europäisch;48;0;8;340;0;120;1000;3167;820;870;19;77;2600;0;6040;2
Rind Herz frisch;0;6;6;510;9,9;910;7200;10700;2780;280;7,3;4;5500;1;376;0
Sardelle Konserve;0;11;11;34;0,4;148;10980;13613;439;78;4;2;274;16;392;0
Hühnerei Eiweiß frisch gegart;0;0;0;16;0;226;73;2740;113;10;6;12;302;0;0;1
Konfitüre, Marmelade mit Fruchtzucker für Diabetiker;86;0;14;14;0;15;114;164;65;12;0;1;3414;0;37;3
Schinkentorte;638;15;138;262;1;201;1053;4003;350;219;1;12;2740;0;289;76
Sülzwürste;0;4;4;793;2;304;2926;6809;753;527;2;2;52;0;260;15
Wiener Würstchen Konserve;21;3;7;469;1;158;2251;4884;341;289;1;2;22886;0;303;9
Fenchelgemüse gedünstet (Zubereitung Haushalt);4310;30;748;211;0;125;196;796;241;94;1,9;72;75474;0;6185;246
Skyr;0;0;0;0;1;300;100;2300;600;100;7;30;0;0;0;2
Bierschinken-Pastete;22;25;29;659;1;176;1957;5174;484;431;2;4;22;0;317;18
Parmesan;210;380;415;30;2;450;200;7200;1200;100;2,7;7;0;0,7;1000;35
Köhler tiefgefroren gegart;0;6;6;32;3;155;2748;6298;319;241;7;7;504;1;350;0
Rotkohl frisch gegart;14;0;3;35;0;30;244;477;228;99;1;20;22852;0;1727;102
Bierschinken, Schinkenpastete;1;4;4;704;1;186;2537;5870;484;455;2;2;20112;0;255;15
Brötchen-Weizenbrötchen;4;3;4;68;0;51;765;1998;149;84;2;9;1;0;358;9
Curry-Bratwurst;6;2;3;462;1;134;1800;4033;302;274;1;2;72;0;273;8
Ricotta Vollfettstufe;120;300;320;13;0,3;195;104;2537;600;43;5;18;0;0,2;700;15
Rind Gulasch (mager) frisch gegart;0;4;4;61;4;227;3811;9011;538;114;3;3;0;0;574;16
Fleischwurst, Stadtwurst;80;2;15;450;1;139;1881;4498;298;273;1;1;21594;0;268;9
Mettwurst grob;0;3;3;635;1;179;2406;5506;414;393;2;2;0;0;326;13
Schwartenmagen;165;5;120;1011;3;592;9464;12697;2148;1189;3;18;32;0;485;34
Brötchen mit Milch;12;14;16;77;0;93;783;2250;215;92;3;9;588;0;377;10
Pute Truthahn gegart;0;11;11;88;0,4;219;9946;14913;1042;405;2;13;0;0;541;0
Frischkäse Doppelrahmstufe;150;300;325;45;0,5;230;110;2493;440;60;4,4;23;200;0,3;700;30
Edamer;150;280;305;40;1,9;300;100;5467;400;70;1,5;35;1;0,5;420;30
Seitan (braun);17;0;3;30;0;19;215;3782;73;33;0,6;6;485;0;220;5
Bismarckhering Konserve, abgetropft;5;22;23;35;8;124;2366;4999;621;191;7;3;761;21;1371;34
Tatar (Schabefleisch) frisch;0;20;20;230;5;260;7500;11417;600;190;3;3;0;0;480;13
Moosbeere;22;0;4;30;0;20;100;233;220;70;2;2;11000;0;500;10
Pfälzer, Augsburger, Regensburger;136;5;28;357;2;168;2525;5042;338;204;1;2;21082;0;302;9
Weißer Fleischkäse;0;2;2;496;1;143;1926;4326;322;294;1;2;0;0;292;9
Schwein Rücken (Kotelett) (mittelfett) frisch gegart;0;9;9;504;2;208;2978;8261;358;341;5;2;0;0;500;18
Bratkartoffeln (Zubereitung Gastronomie);27;35;40;78;0;39;811;1261;268;203;0;14;11269;0,1;170;26
Xylit;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Suppenhuhn Klein frisch gegart;0;2;2;101;13;1156;7804;12087;2996;476;2;7;0;0;314;0
Brötchen-Weizenmischbrötchen;0;0;0;142;0;84;995;2262;345;116;5;20;0;0;602;25
Pizza tonno (Zubereitung Gastronomie);218;15;51;58;0,1;69;1133;2016;263;106;3;33;7592;0,8;1763;8
Haferflocken;0;0;0;562;0;28;1000;4167;1090;98;20;87;0;0;800;63
Kondensmilch 10 % Fett;60;110;120;80;0,5;460;240;2140;1000;80;6,8;8;1400;0,2;230;10
Mettwurst schnittfeste Gruppe;0;5;5;417;2;175;2657;5324;375;234;1;2;0;0;348;10
Reisnudeln;0;0;0;31;0;17;221;221;51;15;0;3;0;0;0;0
Kalbfleisch-Galantine;0;1;1;107;1;318;5588;10255;1381;516;0;13;0;0;193;16
Kabeljau frisch Fischzuschnitt;0;12;12;55;0,5;65;2063;4963;256;245;2,2;12;2000;1,3;440;0
Spätzle (Zubereitung Gastronomie);2;50;51;22;0,4;46;171;1221;271;48;3,6;12;0;0,6;456;11
Wildbret-Galantine                     ;0;1;2;324;1;237;936;5019;664;371;1;4;0;0;430;5
Champignon Konserve gegart abgetropft;8;0;2;42;0;278;2717;3067;960;21;6;3;840;2;135;17
Sprotte frisch;0;90;90;40;7;250;4000;6783;1000;230;6;5;200;20;1500;0
Buchweizen Vollkorn;18;0;3;600;0;150;2900;5017;1200;600;5;50;0;0;1170;7
Rührei (Zubereitung Haushalt);24;182;186;71;1,5;235;76;2659;1198;85;18,1;47;196;1,6;1227;38
